No	영문컬럼명	타입	길이	컬럼수	코멘트종수	코멘트변형(빈도순)	제안표준한글명	1차판정	판정근거
332	BEFORE_DESC_CLASS_FNM	VARCHAR2	250	2	2	변경전분류명(1) | 변경전전체분류명(1)	변경전분류명	통일?	형식단어 동일(명)·핵심어 차이 — 확인
333	AFTER_DESC_CLASS_FNM	VARCHAR2	250	2	2	변경후분류명(1) | 변경후전체분류명(1)	변경후분류명	통일?	형식단어 동일(명)·핵심어 차이 — 확인
334	BEFORE_DESC_CLASS_FID	VARCHAR2	50	2	2	변경전참조코드(1) | 변경전전체분류ID(1)	변경전참조코드	분리?	핵심명사 상이: 변경전참조코드 / 변경전전체분류ID
335	AFTER_DESC_CLASS_FID	VARCHAR2	50	2	2	변경후참조코드(1) | 변경후전체분류ID(1)	변경후참조코드	분리?	핵심명사 상이: 변경후참조코드 / 변경후전체분류ID
336	PROD_ORG_NM	VARCHAR2	120	2	2	전체기관명(1) | 생산기관명(1)	전체기관명	통일?	형식단어 동일(명)·핵심어 차이 — 확인
337	SCHE_NM	VARCHAR2	100	2	2	질의어유형명(1) | 질의어 유형 명(1)	질의어유형명	통일	표기변형/음차/영문누출 차이만
338	SCHE_COMMENT	VARCHAR2	200	2	2	설명(등록 및 변경사유))(1) | 설명(등록 및 변경사유)(1)	설명(등록 및 변경사유))	통일	코멘트 포함관계(수식어 가감)
339	GOVART_PAT_COD	VARCHAR2	2	2	2	행정박물유형코드(1) | GOVARTPAT코드(1)	행정박물유형코드	통일	표기변형/음차/영문누출 차이만
340	GOVART_QUMAT_COD	VARCHAR2	2	2	2	행정박물재질코드(1) | GOVARTQUMAT코드(1)	행정박물재질코드	통일	표기변형/음차/영문누출 차이만
341	LOT_NUMBER	VARCHAR2	30	2	2	지번(1) | 경도숫자(1)	지번	분리?	핵심명사 상이: 지번 / 경도숫자
342	ORG_TYPE	VARCHAR2	2	2	2	기관분류(1) | 기관구분(RG094)(1)	기관분류	분리?	핵심명사 상이: 기관분류 / 기관구분
343	SECRET_YN	VARCHAR2	1	2	2	비밀여부(1) | 폐쇄기관여부(Y:폐쇄기관)(1)	비밀여부	통일?	형식단어 동일(여부)·핵심어 차이 — 확인
344	CONV_YN	VARCHAR2	1	2	2	소집여부(1) | 컨버전여부(1)	소집여부	통일?	형식단어 동일(여부)·핵심어 차이 — 확인
345	ORG_NM	VARCHAR2	180	2	2	ORG명(1) | 처리과명(1)	ORG명	통일	표기변형/음차/영문누출 차이만
346	HIGST_ORG_NM	VARCHAR2	120	2	2	최고ORG명(1) | 최상위기관명(1)	최고ORG명	통일	표기변형/음차/영문누출 차이만
347	PSDNT_DOCDIV_COD	VARCHAR2	3	2	2	PSDNT문서구분코드(1) | 대통령기록분류코드(1)	PSDNT문서구분코드	통일	표기변형/음차/영문누출 차이만
348	CHK_YMD	VARCHAR2	8	2	2	체크일자(1) | 오류확인일자(1)	체크일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
349	CHK_FILE_NM	VARCHAR2	50	2	2	체크파일명(1) | 오류결과 전송 파일명(1)	체크파일명	통일?	형식단어 동일(명)·핵심어 차이 — 확인
350	LOWST_ORG_NM	VARCHAR2	120	2	2	최하위기관명(1) | LOWSTORG명(1)	최하위기관명	통일	표기변형/음차/영문누출 차이만
351	POSS_ORG_HIST	VARCHAR2	1000	2	2	소장기관연혁(소장자이력)(1) | 소장기관연혁(1)	소장기관연혁(소장자이력)	통일	표기변형/음차/영문누출 차이만
352	DISU_GBN	VARCHAR2	1	2	2	폐지구분(0:사용, 1:폐지)(1) | 폐지구분(0:존재, 1:폐지)(1)	폐지구분(0:사용, 1:폐지)	통일	표기변형/음차/영문누출 차이만
353	CHARGE_USER	VARCHAR2	30	2	2	기관담당자(소장자)(1) | 기관담당자(1)	기관담당자(소장자)	통일	표기변형/음차/영문누출 차이만
354	SEQNO	NUMBER	5	2	2	일련번호(1) | 접수이력순번(1)	일련번호	통일	코멘트 포함관계(수식어 가감)
355	CONN_IP_ADDR	VARCHAR2	15	2	2	접속IP(1) | 연결IP주소(1)	접속IP	통일	표기변형/음차/영문누출 차이만
356	ACTION	CHAR	1	2	2	엑션(1) | 작업구분(0:Update, 1:Insert, 2:Delete)(1)	엑션	분리?	핵심명사 상이: 엑션 / 작업구분
357	ORGAN_NM	VARCHAR2	128	2	2	기관명(1) | 조직명(1)	기관명	통일?	형식단어 동일(명)·핵심어 차이 — 확인
358	URL	VARCHAR2	50	2	2	홈피주소(1) | URL(1)	홈피주소	통일	표기변형/음차/영문누출 차이만
359	CHANGE_YMD	VARCHAR2	8	2	2	변경일자(1) | 변동일자(1)	변경일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
360	NOTICE_SEQ_NO	NUMBER	10	2	2	공지순번번호(1) | 요청일련번호(1)	공지순번번호	통일?	형식단어 동일(일련번호)·핵심어 차이 — 확인
361	NOTICE_DIV	VARCHAR2	2	2	2	공지DIV(1) | 통보구분(SV083)(1)	공지DIV	통일	표기변형/음차/영문누출 차이만
362	NOTICE_CONTS	VARCHAR2	1024	2	2	공지콘텐츠(1) | 통보내용(1)	공지콘텐츠	분리?	핵심명사 상이: 공지콘텐츠 / 통보내용
363	START_YMD	VARCHAR2	8	2	2	추진일정시작일(1) | 시작일자(1)	추진일정시작일	분리?	핵심명사 상이: 추진일정시작일 / 시작일자
364	END_YMD	VARCHAR2	8	2	2	추진일정종료일(1) | 종료일자(1)	추진일정종료일	분리?	핵심명사 상이: 추진일정종료일 / 종료일자
365	TAGPUB_STAT	VARCHAR2	2	2	2	태그발행상태(1) | 태그발행(1)	태그발행상태	통일	코멘트 포함관계(수식어 가감)
366	OLD_TAGID	VARCHAR2	24	2	2	이전태그(1) | 이전태그ID(1)	이전태그	통일	코멘트 포함관계(수식어 가감)
367	GRP_STRUC_NM	VARCHAR2	120	2	2	발행조직명(1) | 그룹조직명(1)	발행조직명	통일?	형식단어 동일(명)·핵심어 차이 — 확인
368	ERR_TYPE	VARCHAR2	200	2	2	오류유형(1) | 오류유형코드(1)	오류유형	통일	코멘트 포함관계(수식어 가감)
369	OPENDIV	VARCHAR2	8	2	2	공개제한구분(1) | 총독부간행물공개제한유형(1)	공개제한구분	분리?	핵심명사 상이: 공개제한구분 / 총독부간행물공개제한유형
370	RSID	VARCHAR2	20	2	2	명부코드(1) | 일제명부코드(1)	명부코드	통일	코멘트 포함관계(수식어 가감)
371	ACT	VARCHAR2	20	2	2	액션(1) | 액션(CUD)(1)	액션	통일	표기변형/음차/영문누출 차이만
372	PRCS_DEPT	VARCHAR2	100	2	2	처리담당부서(1) | 처리부서(1)	처리담당부서	통일?	형식단어 동일(부서)·핵심어 차이 — 확인
373	PRCS_PICH_ID	VARCHAR2	100	2	2	처리담당ID(1) | 처리담당자ID(1)	처리담당ID	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
374	CR_TYPE	VARCHAR2	1	2	2	목차주기사항(1) | 목차주기사항구분(C: 목차, R: 주기사항)(1)	목차주기사항	통일	코멘트 포함관계(수식어 가감)
375	PAGE_DOC	VARCHAR2	20	2	2	PAGE_DOC(1) | 실제페이지번호(1)	PAGE_DOC	통일	표기변형/음차/영문누출 차이만
376	RMS_PDF_CVT_YN	VARCHAR2	1	2	2	문서보존포맷변환여부(1) | 보존포맷변환여부(1)	문서보존포맷변환여부	통일	코멘트 포함관계(수식어 가감)
377	FILE_GUBUN	VARCHAR2	100	2	2	파일 구분(1) | 파일구분(1)	파일 구분	통일	표기변형/음차/영문누출 차이만
378	DAY_CHECK_S_DT	DATE		2	2	일일할당량배정일(1) | 일일할당량배정일자(1)	일일할당량배정일	통일	코멘트 포함관계(수식어 가감)
379	QLTY_1ST_DT	DATE		2	2	1차품질검사배정일자(1) | 1차품질검사자ID(1)	1차품질검사배정일자	분리?	핵심명사 상이: 차품질검사배정일자 / 차품질검사자ID
380	QLTY_1ST_ID	VARCHAR2	20	2	2	1차품질검사자ID(1) | QLTY첫번째아이디(1)	1차품질검사자ID	통일	표기변형/음차/영문누출 차이만
381	CHECKER_ASSN_DT	DATE		2	2	건1차검수담당자배정일자(1) | 철1차검수담당자배정일자(1)	건1차검수담당자배정일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
382	CHECK_START_DT	DATE		2	2	건1차검수시작일자(1) | 철1차검수시작일자(1)	건1차검수시작일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
383	CHECKER_CANCEL_DT	DATE		2	2	건1차검수담당자배정해제일자(1) | 철1차검수담당자배정해제일자(1)	건1차검수담당자배정해제일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
384	ACCEPT_ERROR	VARCHAR2	1	2	2	접수오류(1) | 접수오류여부(1)	접수오류	통일	코멘트 포함관계(수식어 가감)
385	ACCEPT_ERRORLIST	VARCHAR2	4000	2	2	접수오류내역(1) | 접수오류내용(1)	접수오류내역	분리?	핵심명사 상이: 접수오류내역 / 접수오류내용
386	STR_GUBUN	VARCHAR2	2	2	2	STR구분(1) | 수신여부(1)	STR구분	통일	표기변형/음차/영문누출 차이만
387	ORAL_QTY	NUMBER	6	2	2	수량(1) | 구성자료건수(1)	수량	분리?	핵심명사 상이: 수량 / 구성자료건수
388	BASAPPEND_FILE_ID	VARCHAR2	100	2	2	기본관련첨부파일(1) | 기본첨부파일아이디(1)	기본관련첨부파일	분리?	핵심명사 상이: 기본관련첨부파일 / 기본첨부파일아이디
389	LINE_NUM	NUMBER		2	2	라인숫자(1) | 오류라인수(1)	라인숫자	분리?	핵심명사 상이: 라인숫자 / 오류라인수
390	ERROR_COL	VARCHAR2	20	2	2	오류컬럼(1) | 오류컬럼수(1)	오류컬럼	통일	코멘트 포함관계(수식어 가감)
391	ERROR_DESC	VARCHAR2	2000	2	2	오류기술(1) | 오류설명(1)	오류기술	분리?	핵심명사 상이: 오류기술 / 오류설명
392	ERROR_SEQ	NUMBER		2	2	오류순번(1) | 오류일련번호(1)	오류순번	통일	표기변형/음차/영문누출 차이만
393	REQ_DT	VARCHAR2	8	2	2	소요일시(1) | 업로드일시(1)	소요일시	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
394	ON_LINE_GBN	VARCHAR2	5	2	2	ON라인GBN(1) | 업로드구분코드(1)	ON라인GBN	통일	표기변형/음차/영문누출 차이만
395	ORDERNAME	VARCHAR2	80	2	2	결제권자(1) | 결재권자(직위/직급)(1)	결제권자	통일?	형식단어 동일(권자)·핵심어 차이 — 확인
396	DAMDANG	VARCHAR2	200	2	2	기안자(업무담당자)(1) | 기안자(1)	기안자(업무담당자)	통일	표기변형/음차/영문누출 차이만
397	PRODREGDATE	VARCHAR2	12	2	2	생산(접수)일시(1) | 생산(접수)등록일시(1)	생산(접수)일시	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
398	SNH_DGTL_CNT	NUMBER		2	2	시청각류 디지털(건)(1) | 시청각 건수(DGTL)(1)	시청각류 디지털(건)	분리?	핵심명사 상이: 시청각류디지털 / 시청각건수
399	ETC_CNT	NUMBER	38	2	2	그 밖의 종류(1) | 그밖의종류(1)	그 밖의 종류	통일	표기변형/음차/영문누출 차이만
400	TOT_CNT	NUMBER	38	2	2	기록물철 총 건수(1) | 시청각기록물 총 건수(1)	기록물철 총 건수	통일?	형식단어 동일(수)·핵심어 차이 — 확인
401	PRMN_CNT	NUMBER	38	2	2	기록물철 영구 건수(1) | 시청각기록물 영구 건수(1)	기록물철 영구 건수	통일?	형식단어 동일(수)·핵심어 차이 — 확인
402	SMPM_CNT	NUMBER	38	2	2	기록물철 준영구 건수(1) | 시청각기록물 준영구 건수(1)	기록물철 준영구 건수	통일?	형식단어 동일(수)·핵심어 차이 — 확인
403	THTY_CNT	NUMBER	38	2	2	기록물철 30년 건수(1) | 시청각기록물 30년 건수(1)	기록물철 30년 건수	통일?	형식단어 동일(수)·핵심어 차이 — 확인
404	TEN_CNT	NUMBER	38	2	2	기록물철 10년 건수(1) | 시청각기록물 10년 건수(1)	기록물철 10년 건수	통일?	형식단어 동일(수)·핵심어 차이 — 확인
405	FIVE_CNT	NUMBER	38	2	2	기록물철 5년 건수(1) | 시청각기록물 5년 건수(1)	기록물철 5년 건수	통일?	형식단어 동일(수)·핵심어 차이 — 확인
406	THREE_CNT	NUMBER	38	2	2	기록물철 3년 건수(1) | 시청각기록물 3년 건수(1)	기록물철 3년 건수	통일?	형식단어 동일(수)·핵심어 차이 — 확인
407	ONE_CNT	NUMBER	38	2	2	기록물철 1년 건수(1) | 시청각기록물 1년 건수(1)	기록물철 1년 건수	통일?	형식단어 동일(수)·핵심어 차이 — 확인
408	KEYWORD_NAME	VARCHAR2	1500	2	2	키워드값(1) | 키워드명(1)	키워드값	분리?	핵심명사 상이: 키워드값 / 키워드명
409	KIKWANCODE	VARCHAR2	7	2	2	처리과기관코드(1) | 기관코드(1)	처리과기관코드	통일	코멘트 포함관계(수식어 가감)
410	STND_YEAR_ID	VARCHAR2	20	2	2	기준년도ID(1) | 스탠드년도아이디(1)	기준년도ID	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
411	WRK_BKDN_COD	VARCHAR2	4	2	2	작업구분코드(1) | 작업내역코드(1)	작업구분코드	통일?	형식단어 동일(코드)·핵심어 차이 — 확인
412	CLIENT_IP	VARCHAR2	15	2	2	사용자IP(1) | 클라이언트IP(1)	사용자IP	통일	표기변형/음차/영문누출 차이만
413	REQ_DIV	VARCHAR2	2	2	2	신청구분(1) | 복원요청구분(SV189)(1)	신청구분	통일?	형식단어 동일(구분)·핵심어 차이 — 확인
414	DISUSE_YN	VARCHAR2	1	2	2	DISUSE여부(1) | 폐기여부(1)	DISUSE여부	통일	표기변형/음차/영문누출 차이만
415	EQP_NM	VARCHAR2	50	2	2	자산명(1) | 보존장비형태(1)	자산명	분리?	핵심명사 상이: 자산명 / 보존장비형태
416	PURCHASE_DT	VARCHAR2	32	2	2	도입일자(1) | 도일일자(1)	도입일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
417	ALL_ORG_NM	VARCHAR2	120	2	2	전체기관명(1) | ALLORG명(1)	전체기관명	통일	표기변형/음차/영문누출 차이만
418	MATI_CONTS	VARCHAR2	2000	2	2	재질상태설명(1) | 매티콘텐츠(1)	재질상태설명	분리?	핵심명사 상이: 재질상태설명 / 매티콘텐츠
419	BF_3DFILE_ID	VARCHAR2	32	2	2	보존처리전이미지ID(1) | 보존처리전3D이미지ID(1)	보존처리전이미지ID	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
420	AF_3DFILE_ID	VARCHAR2	32	2	2	보존처리후이미지ID(1) | 보존처리후3D이미지ID(1)	보존처리후이미지ID	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
421	DISCUSSION_RLT	VARCHAR2	2	2	2	재분류심의결과(01:폐기, 02:보존기간재책정, 03:보류,04:20년후 재분류)(1) | 재분류심의결과(1)	재분류심의결과(01:폐기, 02:보존기간재책정, 03:보류,04:20년후 재분류)	통일	표기변형/음차/영문누출 차이만
422	DISUSE_DIS_RLT	VARCHAR2	2	2	2	폐기심의결과(01:폐기, 02:보존기간재책정, 03:보류)(1) | 폐기심의결과(1)	폐기심의결과(01:폐기, 02:보존기간재책정, 03:보류)	통일	표기변형/음차/영문누출 차이만
423	INSPEC_CD	VARCHAR2	2	2	2	조사코드(SV079)(1) | 조사코드(1)	조사코드(SV079)	통일	표기변형/음차/영문누출 차이만
424	CELL_NO	NUMBER	3	2	2	순번호(1) | 셀(순)번호(1)	순번호	분리?	핵심명사 상이: 순번호 / 셀번호
425	RCREQ_SEQ_NO	NUMBER		2	2	RCREQ순번번호(1) | 요청구분일련번호(1)	RCREQ순번번호	통일	표기변형/음차/영문누출 차이만
426	SIZE1	VARCHAR2	10	2	2	사이즈(1) | 가로(1)	사이즈	분리?	핵심명사 상이: 사이즈 / 가로
427	SIZE2	VARCHAR2	10	2	2	사이즈(1) | 세로(1)	사이즈	분리?	핵심명사 상이: 사이즈 / 세로
428	SIZE3	VARCHAR2	10	2	2	사이즈(1) | 높이(1)	사이즈	분리?	핵심명사 상이: 사이즈 / 높이
429	SIZE4	VARCHAR2	10	2	2	사이즈(1) | 종이두께(1)	사이즈	분리?	핵심명사 상이: 사이즈 / 종이두께
430	BF_ARCHIVE_KEY	VARCHAR2	200	2	2	BF아카이브키(1) | 원본이미지(1)	BF아카이브키	분리?	핵심명사 상이: BF아카이브키 / 원본이미지
431	AF_ARCHIVE_KEY	VARCHAR2	200	2	2	AF아카이브키(1) | 복제본이미지(1)	AF아카이브키	분리?	핵심명사 상이: AF아카이브키 / 복제본이미지
432	DCDE_YN	VARCHAR2	1	2	2	폐기확정여부(1) | 확정여부(2023추가)(1)	폐기확정여부	통일	코멘트 포함관계(수식어 가감)
433	DCDE_DT	DATE		2	2	폐기확정일자(1) | 확정여부날짜(2023추가)(1)	폐기확정일자	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
434	SEQ	NUMBER	5	2	2	일련번호(1) | 순번(1)	일련번호	통일	표기변형/음차/영문누출 차이만
435	FILE_NAME	VARCHAR2	500	2	2	파일명(1) | 파일이름(1)	파일명	분리?	핵심명사 상이: 파일명 / 파일이름
436	ERR_MSG	VARCHAR2	1000	2	2	오류메세지(1) | 오류메시지(1)	오류메세지	통일	표기변형/음차/영문누출 차이만
437	OCR_ERR_CONTS	VARCHAR2	1000	2	2	OCR오류내용(1) | OCR오류콘텐츠(1)	OCR오류내용	통일	표기변형/음차/영문누출 차이만
438	OCR_HIS_SEQ	NUMBER	6	2	2	OCR이력순번(1) | OCRHIS순번(1)	OCR이력순번	통일	표기변형/음차/영문누출 차이만
439	OCR_ERR_CONTS	VARCHAR2	2000	2	2	OCR오류내용(1) | OCR오류콘텐츠(1)	OCR오류내용	통일	표기변형/음차/영문누출 차이만
440	SPEC_ITEM	VARCHAR2	200	2	2	특이사항(1) | 특기사항(1)	특이사항	통일?	형식단어 동일(사항)·핵심어 차이 — 확인
441	PROD_OPN_DIV	VARCHAR2	2	2	2	생산기관의견조회여부(1) | 생산시OPNDIV(1)	생산기관의견조회여부	통일	표기변형/음차/영문누출 차이만
442	CNC_NEED_DIV	VARCHAR2	2	2	2	공개심의회필요여부(1) | CNC필요DIV(1)	공개심의회필요여부	통일	표기변형/음차/영문누출 차이만
443	CMMT_NEED_DIV	VARCHAR2	2	2	2	기록관리위원회상정필요여부(1) | CMMT필요DIV(1)	기록관리위원회상정필요여부	통일	표기변형/음차/영문누출 차이만
444	SCNN_UPLD_PATH_SE_CD	VARCHAR2	2	2	2	스캐닝업로드경로구분코드(1) | 스캐닝UPLD경로구분코드(1)	스캐닝업로드경로구분코드	통일?	형식단어 동일(코드)·핵심어 차이 — 확인
445	SVR_SEQ_NO	NUMBER	3	2	2	서버일련번호(1) | 서버일련번호:1=통합서버,2=정간물웹서버,3=정간물서버(1)	서버일련번호	통일	표기변형/음차/영문누출 차이만
446	PML_RECOD_DT	DATE		2	2	장기보존매체수록일자(1) | 수록일자(1)	장기보존매체수록일자	통일	코멘트 포함관계(수식어 가감)
447	PML_RECOD_USERID	VARCHAR2	20	2	2	장기보존매체수록자ID(1) | 수록자(1)	장기보존매체수록자ID	통일	코멘트 포함관계(수식어 가감)
448	NF_ARCHIVE_DIV	VARCHAR2	2	2	2	기록물구분(1) | 기록물구분(A:철,D:건)(1)	기록물구분	통일	표기변형/음차/영문누출 차이만
449	ACCEPT_DT	DATE		2	2	인수일자(1) | 복원인수일자(1)	인수일자	통일	코멘트 포함관계(수식어 가감)
450	TERM	VARCHAR2	2	2	2	반출기간 01:긴급 02:1일 03:2일 04:3일 05:4일 06:5일 07:6일(1) | 기한(1)	반출기간 01:긴급 02:1일 03:2일 04:3일 05:4일 06:5일 07:6일	분리?	핵심명사 상이: 반출기간 / 기한
451	ETC_CNT	NUMBER		2	2	기타(그 밖의 유형) 건수(1) | 기타 건수(1)	기타(그 밖의 유형) 건수	통일	표기변형/음차/영문누출 차이만
452	BSNS_CD	VARCHAR2	4	2	2	업무 코드(1) | 업무코드(1)	업무 코드	통일	표기변형/음차/영문누출 차이만
453	FIRST_REGST_DTM	DATE		2	2	최초등록일(1) | 등록일(1)	최초등록일	통일	코멘트 포함관계(수식어 가감)
454	LAST_UDTR_ID	VARCHAR2	25	2	2	최종 수정 유저 ID(1) | 최종 수정 유저ID(1)	최종 수정 유저 ID	통일	표기변형/음차/영문누출 차이만
455	DEST_FILE_NM	VARCHAR2	500	2	2	변환서버로 저장된 파일명(1) | 목표 파일이름(1)	변환서버로 저장된 파일명	분리?	핵심명사 상이: 변환서버로저장된파일명 / 목표파일이름
456	DEST_STORAGE_TYPE	VARCHAR2	2	2	2	저장 매체 유형(01:일반스토리지, 02:아카이빙스토리지,03:분산스토리지,04:CAMS일반스토리지,05:CAMS아카이빙스토리지)(1) | 목표 저장 매체 유형(01:일반스토리지, 02:아카이빙스토리지,03:분산스토리지,04:CAMS일반스토리지,05:CAMS아카이빙스토리지)(1)	저장 매체 유형(01:일반스토리지, 02:아카이빙스토리지,03:분산스토리지,04:CAMS일반스토리지,05:CAMS아카이빙스토리지)	통일	코멘트 포함관계(수식어 가감)
457	DEST_STORAGE_VENDOR	VARCHAR2	2	2	2	저장 매체 상세유형(일반스토리지-01:일반스토리지, 아카이빙스토리지-01:HCAP, 02:CAS))(1) | 목표 저장매체 상세유형(일반계열스토리지-01:일반스토리지, 아카이빙계열스토리지-01:HCAP, 02:CAS), 03:분산스토리지-01:NHN)(1)	저장 매체 상세유형(일반스토리지-01:일반스토리지, 아카이빙스토리지-01:HCAP, 02:CAS))	분리?	핵심명사 상이: 저장매체상세유형) / 목표저장매체상세유형
458	REQUEST_START_TIME	DATE		2	2	작업시작시간(1) | 포맷변환 작업 시작 시간(1)	작업시작시간	통일	코멘트 포함관계(수식어 가감)
459	REQUEST_END_TIME	DATE		2	2	작업완료시간(1) | 포맷변환 작업 완료 시간(1)	작업완료시간	통일	코멘트 포함관계(수식어 가감)
460	DEMDR_ADDR	VARCHAR2	250	2	2	청구인주소(1) | DEMDR주소(1)	청구인주소	통일	표기변형/음차/영문누출 차이만
461	DEMDR_ZIPCODE	VARCHAR2	20	2	2	청구인우편번호(1) | DEMDR우편번호(1)	청구인우편번호	통일	표기변형/음차/영문누출 차이만
462	DEMDR_DADDR	VARCHAR2	120	2	2	청구인상세주소(1) | DEMDR상세주소(1)	청구인상세주소	통일	표기변형/음차/영문누출 차이만
463	DEMDR_FAXNO	VARCHAR2	14	2	2	청구인모사전송번호(1) | DEMDR팩스번호(1)	청구인모사전송번호	통일	표기변형/음차/영문누출 차이만
464	DEMDR_EMAIL	VARCHAR2	120	2	2	청구인전자우편주소(1) | DEMDR이메일(1)	청구인전자우편주소	통일	표기변형/음차/영문누출 차이만
