No	영문컬럼명	타입	길이	컬럼수	코멘트종수	코멘트변형(빈도순)	제안표준한글명	1차판정	판정근거
213	RCV_FILENM	VARCHAR2	200	4	4	수신파일명(1) | RCV파일명(1) | 오류파일정보(1) | 접수파일명(1)	수신파일명	분리?	핵심명사 상이: 수신파일명 / 오류파일정보 / 접수파일명
214	RECEIPTNO	VARCHAR2	6	4	2	접수번호(2) | 수령번호(2)	접수번호	통일?	형식단어 동일(번호)·핵심어 차이 — 확인
215	ERROR_LEVEL	VARCHAR2	20	4	2	오류레벨(3) | 에러레벨(1)	오류레벨	통일?	형식단어 동일(레벨)·핵심어 차이 — 확인
216	TYPE	CHAR	1	4	2	유형(3) | 에러분류(1)	유형	분리?	핵심명사 상이: 유형 / 에러분류
217	MEDIA_NM	VARCHAR2	120	4	2	매체이름(3) | 매체명(1)	매체이름	분리?	핵심명사 상이: 매체이름 / 매체명
218	NF_FILE_ID	VARCHAR2	15	4	2	영구보존파일ID(3) | 변환파일ID(1)	영구보존파일ID	통일?	형식단어 동일(ID)·핵심어 차이 — 확인
219	STAT_CODE	VARCHAR2	8	4	2	스탯코드(3) | 업로드처리상태코드(1)	스탯코드	통일?	형식단어 동일(코드)·핵심어 차이 — 확인
220	CTGR_SEQ	NUMBER		4	2	영역분류고유번호(2) | 대분류고유번호(2)	영역분류고유번호	통일?	형식단어 동일(번호)·핵심어 차이 — 확인
221	INSPEC_USR_ID	VARCHAR2	20	4	2	조사자ID(3) | 검사유저아이디(1)	조사자ID	통일	표기변형/음차/영문누출 차이만
222	TEMP_YN	CHAR	1	4	2	임시서고여부(3) | 임시저장여부(1)	임시서고여부	통일?	형식단어 동일(여부)·핵심어 차이 — 확인
223	INSPEC_USR_ID	VARCHAR2	30	4	2	조사자ID(3) | 상태검사(점검)조사자ID(1)	조사자ID	통일	표기변형/음차/영문누출 차이만
224	PROC_DIV	VARCHAR2	2	4	4	처리분류(SV147)(1) | 처리구분(SV070):01=소독, 02=탈산, 03=제본, 05=보존기간재분류 폐기처리(비전자), 06=시청각처리(1) | 처리구분:01=소독, 02=탈산, 03=제본, 05=보존기간재분류 폐기처리(비전자), 06=시청각처리(1) | 복원작업구분(SV152)(1)	처리분류(SV147)	분리?	핵심명사 상이: 처리분류 / 처리구분 / 복원작업구분
225	RECLASS_DT	DATE		4	2	재분류일자(2) | 공개재분류일시(2)	재분류일자	통일	코멘트 포함관계(수식어 가감)
226	INFO_CONN_FLG	VARCHAR2	1	4	2	정보연결FLG(3) | 연결정보등록구분(1)	정보연결FLG	통일	표기변형/음차/영문누출 차이만
227	OCR_RST_COD	VARCHAR2	10	4	2	OCR결과코드(2) | OCRRST코드(2)	OCR결과코드	통일	표기변형/음차/영문누출 차이만
228	OCR_FILE_UPD_REQ_GBN	CHAR	2	4	2	OCR파일수정요청구분(US096)(2) | OCR파일UPD소요GBN(2)	OCR파일수정요청구분(US096)	통일	표기변형/음차/영문누출 차이만
229	REC_USR_ID	VARCHAR2	20	4	2	수록자ID(3) | 수록담당자(1)	수록자ID	통일	표기변형/음차/영문누출 차이만
230	REC_SIZE	VARCHAR2	10	4	2	수록용량(3) | 수록 SIZE(1)	수록용량	통일	표기변형/음차/영문누출 차이만
231	WORD_SEQ	NUMBER	4	4	2	기능어순번(3) | 색인어순번(1)	기능어순번	통일?	형식단어 동일(일련번호)·핵심어 차이 — 확인
232	END_DT	DATE		4	3	처리기간_끝(2) | 스케쥴 완료일시(1) | 처리종료일자(1)	처리기간_끝	분리?	핵심명사 상이: 처리기간끝 / 스케쥴완료일시 / 처리종료일자
233	PROC_USR_ID	VARCHAR2	20	4	2	처리자ID(3) | 복원처리자ID(1)	처리자ID	통일	표기변형/음차/영문누출 차이만
234	PROC_DT	DATE		4	2	보존처리일자(3) | 처리일자(1)	보존처리일자	통일	코멘트 포함관계(수식어 가감)
235	BF_ARCHIVE_KEY	VARCHAR2	32	4	3	처리전 ALERO 아카이브키(2) | 이전 Alero 아카이브키(1) | 복원 전 이미지(1)	처리전 ALERO 아카이브키	분리?	핵심명사 상이: 처리전ALERO아카이브키 / 복원전이미지
236	AF_ARCHIVE_KEY	VARCHAR2	32	4	3	처리후 ALERO 아카이브키(2) | 이후 Alero 아카이브키(1) | 복원 후 이미지(1)	처리후 ALERO 아카이브키	분리?	핵심명사 상이: 처리후ALERO아카이브키 / 복원후이미지
237	TRANS_USR_ID	VARCHAR2	20	4	2	이송담당자(2) | 이송담당자ID(2)	이송담당자	통일	코멘트 포함관계(수식어 가감)
238	ENTRY_USR_ID	VARCHAR2	20	4	2	입고담당자(2) | 입고담당자ID(2)	입고담당자	통일	코멘트 포함관계(수식어 가감)
239	RECORD_CENTER_ID	VARCHAR2	7	4	2	기관코드(3) | 기관코드(CAMS-R1: 품질검사, CAMS-S1:스토리지저장, CAMS-S1:재변환)(1)	기관코드	통일	표기변형/음차/영문누출 차이만
240	DECS_NOPN_RS	VARCHAR2	250	4	2	DECSNOPNRS(2) | 결정비공개사유(2)	DECSNOPNRS	통일	표기변형/음차/영문누출 차이만
241	ORG_CODE	VARCHAR2	7	3	2	ORG코드(2) | 기관코드(1)	ORG코드	통일	표기변형/음차/영문누출 차이만
242	FILE_SIZE	NUMBER	9	3	2	파일크기(1) | NEO 첨부 파일크기(1) | [코멘트없음](1)	파일크기	통일	코멘트 포함관계(수식어 가감)
243	FILE_PATH	VARCHAR2	512	3	2	전체파일경로(2) | 파일경로(1)	전체파일경로	통일	코멘트 포함관계(수식어 가감)
244	POSS_SCT	VARCHAR2	1	3	3	소장처구분(PL001)(1) | 소장처구분(해외기관:CM082, 민간:CM083)(1) | 소장처구분(CM082)(1)	소장처구분(PL001)	통일	표기변형/음차/영문누출 차이만
245	POSS_ORG_DESC	VARCHAR2	1000	3	2	소장기관설명(2) | 소장기관설명(소장자설명)(1)	소장기관설명	통일	표기변형/음차/영문누출 차이만
246	LITR_DIV_COD	CHAR	5	3	2	문헌분류코드(2) | 리터DIV코드(1)	문헌분류코드	통일	표기변형/음차/영문누출 차이만
247	KORGN_SCT_COD	CHAR	3	3	2	한국지역구분코드(2) | 국가SCT코드(1)	한국지역구분코드	통일	표기변형/음차/영문누출 차이만
248	REG_ID	VARCHAR2	20	3	3	등록아이디(1) | 최종수정자(1) | 신조어등록자ID(1)	등록아이디	분리?	핵심명사 상이: 등록아이디 / 최종수정자 / 신조어등록자ID
249	NEXT_HORG_COD	VARCHAR2	10	3	2	차상위코드(2) | 차상위기관코드(1)	차상위코드	통일?	형식단어 동일(코드)·핵심어 차이 — 확인
250	HIGST_ORG_COD	VARCHAR2	10	3	2	최상위코드(2) | 최상위기관코드(1)	최상위코드	통일?	형식단어 동일(코드)·핵심어 차이 — 확인
251	GGD_DIV_COD	VARCHAR2	7	3	2	총독문서분류코드(2) | GGDDIV코드(1)	총독문서분류코드	통일	표기변형/음차/영문누출 차이만
252	ORG_COD_DIV	VARCHAR2	1	3	2	기관코드구분(CM081)(2) | 기관코드구분(1)	기관코드구분(CM081)	통일	표기변형/음차/영문누출 차이만
253	SYS_GBN	VARCHAR2	30	3	2	시스템GBN(1) | 접수시스템구분(1) | [코멘트없음](1)	시스템GBN	통일	표기변형/음차/영문누출 차이만
254	REQ_TYPE	VARCHAR2	1	3	2	요청구분코드(2) | 요청구분코드(1:철, 2:건(1)	요청구분코드	통일	코멘트 포함관계(수식어 가감)
255	REG_DATE	DATE		3	2	등록날짜(2) | 요청일자(1)	등록날짜	통일?	형식단어 동일(일시)·핵심어 차이 — 확인
256	REQ_TYPE	VARCHAR2	2	3	3	요청분류(KH011)(1) | 보존처리요청기록물구분(1) | 복원요청기록물구분(1)	요청분류(KH011)	분리?	핵심명사 상이: 요청분류 / 보존처리요청기록물구분 / 복원요청기록물구분
257	RECORD_TYPE	VARCHAR2	2	3	2	전거종류(KH001)(2) | 기본유형(코드KH001)(1)	전거종류(KH001)	통일?	형식단어 동일(유형)·핵심어 차이 — 확인
258	AUTHOR	VARCHAR2	150	3	2	저자명(2) | 저자(1)	저자명	통일	코멘트 포함관계(수식어 가감)
259	RELATION_CAT	VARCHAR2	4	3	2	관계CAT(2) | 1:시간,2:계층(1)	관계CAT	통일	표기변형/음차/영문누출 차이만
260	RELATION_TYPE	VARCHAR2	6	3	2	관계유형(2) | 1:이전, 2:차상위, 3 : 최상위(1)	관계유형	통일	표기변형/음차/영문누출 차이만
261	ORGAN_CODE_RELATED	VARCHAR2	10	3	2	조직코드관계(2) | 관계기관코드(1)	조직코드관계	분리?	핵심명사 상이: 조직코드관계 / 관계기관코드
262	ORGAN_NAME_RELATED	VARCHAR2	128	3	2	조직이름관계(2) | 관계기관명(1)	조직이름관계	분리?	핵심명사 상이: 조직이름관계 / 관계기관명
263	CHUL_GUN_DIV_CD	VARCHAR2	1	3	3	철건구분코드(1:철,2:건)(1) | 기록물철건구분(1: 철, 2: 건)(1) | 철건구분코드(철:1, 건:2)(1)	철건구분코드(1:철,2:건)	분리?	핵심명사 상이: 철건구분코드 / 기록물철건구분
264	EMAIL	VARCHAR2	100	3	2	사용자 E-Mail(2) | 이메일(1)	사용자 E-Mail	통일	표기변형/음차/영문누출 차이만
265	FILENAME	VARCHAR2	300	3	2	대상파일명(2) | 파일명(1)	대상파일명	통일	코멘트 포함관계(수식어 가감)
266	REQUEST_STATUS	VARCHAR2	1	3	2	작업상태(A:대기, B:변환중, C:변환완료, D:오류, E:취소)(2) | 신청상태(1)	작업상태(A:대기, B:변환중, C:변환완료, D:오류, E:취소)	통일?	형식단어 동일(상태)·핵심어 차이 — 확인
267	HASH_ALGORISM	VARCHAR2	32	3	2	해쉬알고리즘(2) | 해쉬 알고리즘(1)	해쉬알고리즘	통일	표기변형/음차/영문누출 차이만
