구분	영문약어	단어명	스키마등장수	비고
매칭	HSMT	사료	1	
매칭	HSTRY	이력	25	
매칭	ID	아이디	969	
매칭	IDNTY	확인	6	
매칭	IDTF	식별자	6	
매칭	IGI	검수	47	
매칭	IMG	이미지	6	
매칭	IMPL	집행	1	
매칭	IMPLC	구현	2	
매칭	IMPR	불가	7	
매칭	INCT	도입	2	
매칭	INDX	색인	5	
매칭	INFC	감염	15	
매칭	INFO	정보	28	
매칭	INPT	입력	9	
매칭	INQ	조회	3	
매칭	INSP	검사	9	
매칭	INST	기관	125	
매칭	INSTL	설치	10	
매칭	INTR	검사자	1	
매칭	IP	IP	6	
매칭	IPADR	IP주소	13	
매칭	ISPR	발급자	2	
매칭	ISR	발행자	2	
매칭	ISSU	발급	1	
매칭	IWD	색인어	1	
매칭	JBGD	직급	43	
매칭	JBPS	직위	49	
매칭	JOB	작업	126	
매칭	JVM	JVM	1	
매칭	KEY	키	10	
매칭	KKR	KKR	1	
매칭	KND	종류	2	
매칭	LANG	언어	6	
매칭	LAOR	법령	4	
매칭	LAST	최종	21	
매칭	LBL	라벨	1	
매칭	LDGR	대장	9	
매칭	LEFT	좌측	1	
매칭	LEV	레벨	11	
매칭	LGN	로그인	14	
매칭	LINE	라인	9	
매칭	LINK	연계	35	
매칭	LIST	목록	84	
매칭	LMT	제한	38	
매칭	LNKG	연결	10	
매칭	LOG	로그	8	
매칭	LRG	대	6	
매칭	LTBR	경광등	2	
매칭	LWPR	하위	6	
매칭	MAIN	주요	6	
매칭	MASK	MASK	1	
매칭	MASS	대용량	1	
매칭	MBRC	위원	13	
매칭	MBY	주체	2	
매칭	MCHN	기계	4	
매칭	MD	매체	37	
매칭	MDCN	약품	1	
매칭	MDFCN	수정	31	
매칭	MDFR	수정자	1	
매칭	MDTR	치료	45	
매칭	MEMO	메모	10	
매칭	MENU	메뉴	22	
매칭	META	메타	3	
매칭	MF	MF	13	
매칭	MGR	마이그레이션	3	
매칭	MID	중	7	
매칭	MKR	제조사	3	
매칭	MM	월	3	
매칭	MMT	시기	12	
매칭	MNG	관리	109	
매칭	MNGR	관리자	1	
매칭	MNIT	모니터링	7	
매칭	MNSC	사본	8	
매칭	MNTS	회의록	4	
매칭	MSG	메시지	4	
매칭	MTG	회의	11	
매칭	MTHD	방법	17	
매칭	MTS	개월	1	
매칭	MTTR	사항	3	
매칭	MULTI	다중	9	
매칭	MXMM	최대	4	
매칭	NARS	국가기록원	10	
매칭	NEED	필요	2	
매칭	NEIS	NEIS	2	
매칭	NEO	네오	2	
매칭	NEOB	NEO	47	
매칭	NEW	신규	14	
매칭	NEXT	다음	1	
매칭	NM	명	491	
매칭	NMPR	인원	3	
매칭	NMTM	횟수	2	
매칭	NO	번호	241	
매칭	NOELCT	비전자	21	
매칭	NOFL	층수	5	
매칭	NOW	현재	12	
매칭	NTC	공지	3	
매칭	NTFCTN	통보	62	
매칭	NTN	국가	6	
매칭	OBTN	입수	2	
매칭	OFCL	공식	28	
매칭	OFDC	공문서	11	
매칭	OFF	OFF	1	
매칭	OGDP	소속	3	
매칭	OGNZ	조직	7	
매칭	OLD	구	31	
매칭	ON	ON	1	
매칭	ONE	1	13	
매칭	ONLN	온라인	1	
매칭	ONNARA	온나라	4	
매칭	OPDS	광디스크	28	
매칭	OPER	운영	3	
매칭	OPNN	의견	113	
매칭	OPRTNG	가동	2	
매칭	OPRTR	작업자	30	
매칭	ORC	공개재분류	1	
매칭	ORD	서열	5	
매칭	ORGD	원문	51	
매칭	ORGNL	원본	34	
매칭	OTP	공개구분	23	
매칭	PAGE	쪽	29	
매칭	PARM	파라메터	3	
매칭	PART	부분	25	
매칭	PATCH	패치	1	
매칭	PATH	경로	47	
매칭	PBADMS	행정	1	
매칭	PBANC	공고	4	
매칭	PBLC	발간	10	
매칭	PBLCN	발행	9	
매칭	PBRC	기록물	144	
매칭	PD	기간	129	
매칭	PDC	부분공개	14	
매칭	PDF	PDF	5	
매칭	PDST	생산현황	46	
매칭	PFMR	행위자	32	
매칭	PGNO	쪽수	17	
매칭	PHBT	금지	21	
매칭	PHND	인계자	20	
매칭	PHTG	촬영	17	
매칭	PIC	담당자	62	
매칭	PLAN	계획	18	
매칭	PLC	장소	13	
매칭	PLCY	정책	3	
매칭	POSC	납본	1	
매칭	POTNO	포트번호	14	
매칭	PRBLM	문제	2	
매칭	PRCR	처리자	4	
매칭	PRCS	처리	132	
매칭	PRDCT	제품	6	
매칭	PRDCTN	생산	188	
매칭	PRDL	간행물	8	
매칭	PRE	사전	4	
매칭	PRFMNC	실적	7	
매칭	PRGRS	진행	40	
매칭	PRMN	영구	8	
매칭	PRNMNT	예정	2	
매칭	PRNT	인쇄	1	
매칭	PROT	보호	4	
매칭	PRPS	목적	22	
매칭	PRSL	열람	95	
매칭	PRSN	인물	2	
매칭	PRSR	보존	152	
매칭	PRTN	추진	8	
매칭	PRTTN	분할	14	
매칭	PRUF	증빙	1	
매칭	PRVT	비공개	8	
매칭	PSBLTY	가능	2	
매칭	PSSN	점유	1	
매칭	PSTG	게시	11	
매칭	PSTN	위치	26	
매칭	PSWD	비밀번호	6	
매칭	PVSN	제공	7	
매칭	PYEONG	평	1	
매칭	QLIN	품질검사	10	
매칭	QOMT	재질	2	
매칭	QY	수량	6	
매칭	R	재	10	
매칭	RC	기록	4	
매칭	RCPT	접수	123	
매칭	RCPTN	수신	23	
매칭	RCTR	기록관	368	
매칭	RCVR	수신자	11	
매칭	RDR	열람자	12	
매칭	RDRT	축소율	1	
매칭	REAP	재책정	10	
매칭	RECE	수령	2	
매칭	RECFMTN	재확정	1	
매칭	RECP	수령인	1	
매칭	RECR	재생성	1	
매칭	REDR	리더기	4	
매칭	REFR	참고	1	
매칭	REG	등록	302	
매칭	REL	관계	17	
매칭	REQ	소요	1	
매칭	RERCPT	재접수	1	
매칭	RETRNSF	재이관	1	
매칭	REVL	재평가	17	
매칭	RFLT	반영	3	
매칭	RFRNC	참조	1	
매칭	RGLT	준칙	1	
매칭	RGN	지역	3	
매칭	RGTR	등록자	62	
매칭	RITM	기록물건	175	
매칭	RJCT	반려	39	
매칭	RLS	공개	135	
매칭	RM	기록관리	13	
매칭	RMRK	비고	29	
매칭	RMST	기록관리시스템	4	
매칭	RMT	포맷	31	
매칭	RMV	해제	11	
매칭	RNG	영역	2	
매칭	RPLY	회신	2	
매칭	RPRD	복제	6	
매칭	RPRS	대표	29	
매칭	RPT	보고	53	
매칭	RQSTR	요청자	40	
매칭	RRNO	주민등록번호	2	
매칭	RSLT	결과	58	
매칭	RSN	사유	155	
매칭	RSPNS	응답	6	
매칭	RSRV	보류	14	
매칭	RSTR	복원	7	
매칭	RT	비율	2	
매칭	RTN	반납	1	
매칭	RTRVL	회수	2	
매칭	RULE	규칙	18	
매칭	RVW	검토	65	
매칭	SAME	동일	1	
매칭	SCAN	스캔	3	
매칭	SCHDL	일정	8	
매칭	SCHM	체계	73	
매칭	SCNN	스캐닝	19	
매칭	SCPE	범위	18	
매칭	SCRN	화면	1	
매칭	SCS	성공	2	
매칭	SE	구분	239	
매칭	SECU	보안	18	
매칭	SEPFN	분장	1	
매칭	SEQ	순번	207	
매칭	SFCT	소기능	8	
매칭	SHPGOT	반출	18	
매칭	SIX	6	5	
매칭	SLCTN	선정	25	
매칭	SLR	소독	3	
매칭	SMMR	요약	15	
매칭	SMPM	준영구	1	
매칭	SN	일련번호	93	
매칭	SND	2차	1	
매칭	SNDNG	발송	6	
매칭	SNDPTY	발신자	10	
매칭	SOLTN	해결	1	
매칭	SORT	정렬	9	
매칭	SPCFCT	규격	2	
매칭	SPCL	특수	50	
매칭	SPLMRC	부기	4	
매칭	SPLST	전문요원	25	
매칭	SPRT	지원	13	
매칭	SPRVSN	주관	4	
매칭	SPVR	감독관	1	
매칭	SQL	질의	4	
매칭	SRC	출처	4	
매칭	SRCH	검색	14	
매칭	SRET	비밀	21	
매칭	SRNG	심사	2	
매칭	SRPB	연속간행물	1	
매칭	SRVC	서비스	7	
매칭	SRVR	서버	32	
매칭	SRWD	검색어	8	
매칭	SSO	SSO	3	
매칭	STK	서고	45	
매칭	STMD	저장매체	32	
매칭	STNG	설정	22	
매칭	STRG	저장	64	
매칭	STTS	상태	215	
매칭	SYMB	기호	3	
매칭	SYS	시스템	75	
매칭	SZ	크기	51	
매칭	TAG	태그	12	
매칭	TASK	업무	82	
매칭	TBL	테이블	2	
매칭	TCNT	총개수	15	
매칭	TCPCT	총용량	3	
매칭	TELNO	전화번호	5	
매칭	TEN	10	1	
매칭	TERM	기한	4	
매칭	THD	3차	1	
매칭	THEA	갑	1	
매칭	THEB	을	1	
매칭	THMNL	썸네일	1	
매칭	THON	제1	3	
매칭	THRE	3	13	
매칭	THTH	제3	3	
매칭	THTW	제2	3	
매칭	TKOV	인수인계	64	
매칭	TMPLT	서식	3	
매칭	TMPR	임시	13	
매칭	TOP	상단	2	
매칭	TOQY	총수량	2	
매칭	TPGNO	총쪽수	3	
매칭	TPRT	태그발행기	2	
매칭	TRDV	처리과	248	
매칭	TRGT	대상	62	
매칭	TRMN	종결	3	
매칭	TRNSF	이관	186	
매칭	TRNSTN	전환	5	
매칭	TRSM	전송	17	
매칭	TSTMP	타임스탬프	2	
매칭	TTL	제목	39	
매칭	TTLE	표제	38	
매칭	TWO	2	15	
매칭	TYPE	유형	229	
매칭	UID	고유식별자	2	
매칭	ULD	업로드	1	
매칭	UNIT	단위	57	
매칭	UNTK	단위과제	14	
매칭	UP	상위	12	
매칭	UPDT	갱신	2	
매칭	URL	URL	1	
매칭	USE	사용	21	
매칭	USER	사용자	78	
매칭	USG	용도	3	
매칭	VER	버전	18	
매칭	VIRS	바이러스	103	
매칭	VL	값	17	
매칭	VLD	유효	5	
매칭	VLM	권	4	
