token	freq	sample_cols
RVW	65	tb_rcmissingmemo.rvw_opnn; tb_rdfoldercreat.rvw_opnn; tb_rdrlsclgnopnn.rvw_cpyr_type
STRG	64	tb_adarchivalattachfile.strg_path; tb_adarchivalattachfile.strg_file_nm; tb_adarchivalobjimg.strg_file_nm
TKOV	64	tb_crfolder.tkov_se_cd; tb_crfolder.tkov_trdv_cd; tb_crfolder.tkov_clsf_schm_id
HNDV	63	tb_adarchivalobj.trnsf_hndv_trdv; tb_crfoldertakov.hndv_untk_card_id; tb_crfoldertakov.hndv_untk_card_nm
PIC	62	object_taget_data.task_pic_nm; tb_bkcrrc.crrc_pic; tb_crfolder.prsr_task_pic_nm
RGTR	62	object_taget_data.rgtr_id; object_taget_data.rgtr_dept_id; object_taget_data.rgtr_dept_nm
NTFCTN	62	tb_adarchivalobj.pdst_ntfctn_yn; tb_crfolder.pdst_ntfctn_yn; tb_crfolder.pdst_ntfctn_year
TRGT	62	tb_batchworkhist.job_trgt_file_nm; tb_batchworkqueue.job_trgt_file_nm; tb_batchworkqueuepre.job_trgt_file_nm
DMND	59	object_taget_data.neob_cnvr_dmnd_job_id; tb_dfrcpttransflist.trnsf_aprv_dmnd_ntfctn_yn; tb_dfrcpttransflist.trnsf_aprv_dmnd_ntfctn_dt
CHG	59	tb_crfolderchghist.chg_hstry_no; tb_crfolderchghist.chg_ymd; tb_crfolderchghist.chg_rsn
RSLT	58	object_taget_data.dlbr_rslt; tb_crfolder.igi_rslt_cd; tb_crntfctnfolder.pdst_ntfctn_prcs_rslt_stts
BGNG	57	object_taget_data.ritm_bgng_page; object_taget_data.prtn_pd_bgng_ymd; tb_batchworkhist.job_bgng_dt
UNIT	57	tb_rsrvdoc.unit_task_se_fnct; tb_transfdetailinfostathist.trnsf_trgt_unit_asmt_card_cnt; tb_zzfnctclsf.unit_task_cd_cnvr_yn
CMPTN	56	object_taget_data.scnn_cmptn_yn; object_taget_data.scan_insp_cmptn_yn; object_taget_data.rls_mng_cmptn_yn
EVL	55	tb_adarchivalobjdscd.evl_dlcn_opnn; tb_dfdscddlbr.evl_dlbdc_no; tb_dfdscddlbr.evl_year
APLY	55	tb_rdfolderprsldtl.prsl_aply_no; tb_rdfolderprsldtl.prsl_aply_prgrs_stts_cd; tb_rdfolderprsldtl.prsl_aply_type_cd
RPT	53	tb_adarchivalobj.adaf_pdst_rpt_stts; tb_adarchivalobj.pdst_rpt_ymd; tb_adarchivalobj.pdst_rpt_file_crt_yn
BKSH	53	tb_adarchivalobj.bksh_id; tb_adarchivalobj.bksh_pstn; tb_gvrnprdl.bksh_id
SZ	51	j_attachfile.file_sz; object_taget_data.ritm_sz; tb_adarchivalattachfile.file_sz
ORGD	51	object_taget_data.orgd_id; tb_dftkovrecordlist.orgd_id; tb_dftransfstorercd.orgd_id
SPCL	50	object_taget_data.spcl_pbrc_type; object_taget_data.spcl_pbrc_info; object_taget_data.spcl_pbrc_info_two
JBPS	49	object_taget_data.autzr_jbps_jbgd_nm; object_taget_data.rgtr_jbps_jbgd_nm; object_taget_data.sret_clgn_user_jbps_jbgd
ATCH	48	object_taget_data.atch_cnt; tb_adarchivalattachfile.atch_file_seq; tb_adarchivalattachfile.atch_file_nm
NEOB	47	object_taget_data.neob_cnvr_stts; object_taget_data.neob_cnvr_dmnd_job_id; object_taget_data.trnsf_neob_cnvr_stts
PATH	47	tb_adarchivalattachfile.strg_path; tb_adarchivalobjimg.img_file_path; tb_adarchivalobjimg.thmnl_path
IGI	47	tb_crfolder.igi_rslt_cd; tb_crfolder.igi_cn; tb_crrecord.igi_rslt_cd
PDST	46	tb_adarchivalobj.adaf_pdst_rpt_stts; tb_adarchivalobj.pdst_rpt_ymd; tb_adarchivalobj.pdst_rpt_file_crt_yn
