token	freq	sample_cols
OFDC	11	tb_rsrvdoc.ofdc_prsr_pd_clsf_crtr; tb_rsrvdoc.ofdc_prsr_pd_prmn_thea; tb_rsrvdoc.ofdc_prsr_pd_prmn_theb
MTG	11	tb_rdrecordmeeting.mtg_nm; tb_rdrecordmeeting.mtg_plc; tb_rdrecordmeeting.mtg_ymd
PSTG	11	tb_stattachfile.pstg_seq; tb_stattachfile.pstg_se; tb_stnoti.pstg_seq
LEV	11	tb_stdept.inst_lev_cycl; tb_stmenu.menu_authrt_lev; tb_storg.inst_lev_cycl
CTFE	11	tb_stformatpki.ctfe; tb_stformatpki.ctfe_usg; tb_stformatpkihist.ctfe
FNPR	11	tb_zzfnctclsf.fnpr_dcdt; tb_zzsendunit.fnpr_trnsf_mmt; tb_zzunit.fnpr_trnsf_mmt
ADR	10	object_taget_data.adr_type; object_taget_data.adr_cn_smmr; tb_crrecord.adr_type
SNDPTY	10	object_taget_data.sndpty; tb_crrecord.sndpty; tb_mgrecord.sndpty
R	10	object_taget_data.fls_neob_r_cnvr_job_id; object_taget_data.fls_neob_r_cnvr_stts; tb_dfdscdhist.prsr_pd_r_aprtn_ymd
QLIN	10	object_taget_data.qlin_stts_cd; tb_dforgtkovlist.qlin_yn; tb_dforgtkovlist.qlin_err_ennc
EXPC	10	tb_dfdscdhist.bfch_expc_dscd_year; tb_dfrevlhist.bfch_expc_dscd_year; tb_mgfolder.expc_dscd_year
REAP	10	tb_dfdscdhist.reap_bfr_prsr_pd; tb_dfdscdhist.reap_aftr_prsr_pd; tb_dfdscdhist.reap_bfr_prsr_pd_rsn
MEMO	10	tb_dftransferrorprcshist.memo_cn; tb_streqclgnopnnfolder.trdv_rvw_opnn_memo; tb_streqclgnopnncrtr.memo_cn
KEY	10	tb_dftransfprcsrcpterror.ritm_key; tb_dftransfacptnresultdtl.ritm_key; tb_oprlslistchg.ritm_key
PBLC	10	tb_gvrnprdl.pblc_id; tb_gvrnprdl.pblc_reg_sn; tb_gvrnprdl.prdl_pblc_reg_grnt_trgt_yn
NARS	10	tb_gvrnprdl.nars_posc_yn; tb_zzprsrtermhist.nars_prsr_pd_cd; tb_zzprsrtermhist.nars_opnn
ACNT	10	tb_rcmissingmemo.acnt_id; tb_rddscdphbtappoint.dscd_phbt_dsgn_acnt_id; tb_rddscdphbtappoint.dscd_phbt_rmv_acnt_id
LNKG	10	tb_rdrecord_nonelect.lnkg_chnrg; tb_stbefrlslist.file_lnkg_path; tb_stmenu.menu_lnkg_seq
INSTL	10	tb_rffixreder.instl_usg; tb_rffixreder.instl_pstn; tb_rftabprint.instl_pstn
DWNLD	9	j_attachfile.dwnld_cnt; j_attachfile.dwnld_expry_ymd; j_attachfile.dwnld_lmt_cnt
DLRY	9	object_taget_data.dcdv_dlry_no; tb_crdistr.dlry_ldgr_id; tb_crdistr.dlry_sn
INSP	9	object_taget_data.scnn_insp_se_cd; object_taget_data.scan_insp_cmptn_yn; tb_dfacptnplan.auto_insp_yn
DESC	9	object_taget_data.arngmt_desc; tb_adarchivalobj.dscd_pbanc_desc; tb_mgfolder.arngmt_desc
INPT	9	object_taget_data.trnstn_inpt_yn; object_taget_data.vrms_inpt_yn; tb_mgfolder.trnstn_inpt_yn
CRLTN	9	object_taget_data.crltn_no; object_taget_data.crltn_dt; object_taget_data.crltn_scpe
LDGR	9	tb_crdistr.dlry_ldgr_id; tb_rdprsldoc.prsl_ldgr_sn; tb_rdprsldoc.prsl_ldgr_no
LINE	9	tb_crntfctnrcptresult.list_line_no; tb_dftransfprcsrcpterror.list_line_no; tb_dftransfprcsrcptresult.list_line_no
PBLCN	9	tb_gvrnprdl.pblcn_ymd; tb_rftabpub.tag_pblcn_type; tb_rftabpub.tag_pblcn_stts
SORT	9	tb_mainstatistics.sort; tb_stmenu.menu_sort_seq; tb_stqna.pstg_sort_seq
MULTI	9	tb_rdmultiaprovcreat.multi_aprv_ritm_id; tb_rdmultiaprovdoc.multi_aprv_ritm_id; tb_rdmultiaprovdoc.multi_aprv_acptn_seq
ADDR	9	tb_stdownipmng.user_ip_addr; tb_stformatsrvrinfo.srvr_ip_addr; tb_stlogmonitor.ip_addr
DATE	8	j_attachfile.reg_date; tb_streqresult.job_bgng_date; tb_streqresult.job_cmptn_date
MNSC	8	object_taget_data.orgnl_mnsc_yn; tb_crrecord.orgnl_mnsc_yn; tb_mgrecord.orgnl_mnsc_yn
PRTN	8	object_taget_data.prtn_pd_bgng_ymd; object_taget_data.prtn_pd_end_ymd; object_taget_data.prtn_plan
PRVT	8	object_taget_data.list_prvt_grds; object_taget_data.list_prvt_rsn; tb_rdrecord.list_prvt_grds
GRDS	8	object_taget_data.list_prvt_grds; tb_dfexcursus.excss_grds; tb_mgrecord.task_grds_type
CPYR	8	object_taget_data.cpyr_type; tb_gvrnprdl.cpyr_agre_type; tb_rdrlshist.bfch_cpyr_type
DST	8	tb_adarchival_dst.adaf_dst_sn; tb_adarchival_dst.adaf_dst_rsn; tb_adarchival_dst.dst_reg_ymd
ALCT	8	tb_crfolder.prsr_mthd_alct_cd; tb_mgfolder.prsr_mthd_alct_cd; tb_rdfolder.prsr_mthd_alct_cd
LOG	8	tb_crreport.rcpt_log_file_nm; tb_sterrorlog.err_log_seq; tb_sterrorlog.log_crt_hr
PRMN	8	tb_crreporthist.prmn_inst_nm; tb_crreporthist.prmn_inst_pic_nm; tb_rsrvdoc.ofdc_prsr_pd_prmn_thea
DLBDC	8	tb_dfdscddlbr.evl_dlbdc_no; tb_dfdscddlbrdoc.dscd_dlbdc_sn; tb_dfdscddlbrdoc.dlbdc_wrt_rsn
SCHDL	8	tb_dfdscdopnn.schdl_seq; tb_rdrlsclgnopnn.schdl_seq; tb_sroptidisk_mst.schdl_seq
PRDL	8	tb_gvrnprdl.gvrn_prdl_id; tb_gvrnprdl.prdl_pblc_reg_grnt_trgt_yn; tb_gvrnprdl.prdl_reg_id_type
GRNT	8	tb_gvrnprdl.prdl_pblc_reg_grnt_trgt_yn; tb_mgfolder.stk_mng_no_grnt_rule; tb_rdfolder.stk_mng_no_grnt_rule
SRWD	8	tb_mgfolderkwrd.srwd; tb_mgrecordkwrd.srwd; tb_rdfolderkwrd.srwd
ADD	8	tb_oprlsgroup.ritm_add_cnt; tb_rdrecordcreat.dmnd_add_opnn; tb_rdrecordcreat.dmnd_add_dt
SFCT	8	tb_tkfoldermng.cd_sfct; tb_zzorgcomstnd.brm_sfct_nm; tb_zzsendunit.cd_sfct
CHCKR	8	tb_tkorgacptnplan.chckr_id; tb_tkorgacptnplan.chckr_nm; tb_tkorgacptnplan.chckr_nm_trdv
COMM	8	tb_zzcomcd.comm_type_cd; tb_zzcomcd.comm_cd; tb_zzcomcd.comm_cd_nm
ACTN	7	object_taget_data.prot_actn_need_yn; tb_rdrecord.prot_actn_need_yn; tb_srcntchckdtl.actn_rslt_cn
DRET	7	object_taget_data.dret_cause; tb_rdrecord.dret_cause; tb_tkmonitor.dret_mng_card_cnt
FLFMT	7	object_taget_data.flfmt_stts; object_taget_data.flfmt_prblm; tb_rdrecord.flfmt_stts
CMIT	7	tb_dfdscdopnn.ntn_rm_cmit_evl_opnn_cd; tb_dfdscdopnn.ntn_rm_cmit_rsrv_pd_cd; tb_dfdscdopnn.ntn_rm_cmit_reap_prsr_pd
AUTO	7	tb_dfacptnplan.auto_insp_yn; tb_rdrlsclgnauto.auto_otp_cd; tb_rdrlsclgnauto.auto_rls_grd
DSCTN	7	tb_dftransfprcsrcpterror.trnsf_rcpt_err_dsctn; tb_dftransfprcsrcptresult.trnsf_rcpt_err_dsctn; tb_sterrorlog.err_detl_dsctn
RSTR	7	tb_mgfolder.rstr_prcs_ymd; tb_mgfolder.rstr_prcr_info; tb_rdfolder.rstr_prcs_ymd
PVSN	7	tb_oprlsgroup.list_pvsn_yn; tb_oprlsgroup.list_pvsn_dt; tb_rdfolder.rls_srch_list_pvsn_yn
OGNZ	7	tb_rdfolderaccs.acs_ognz_cd; tb_rdrecordaccs.acs_ognz_cd; tb_rftabpubhist.pblcn_ognz_cd
IMPR	7	tb_rdotherprslreq.prsl_impr_pbrc_aply_stts_cd; tb_rdotherprslreq.prsl_impr_pbrc_aply_rsn; tb_rdprslreq.prsl_impr_pbrc_aply_stts_cd
PRFMNC	7	tb_rdrecordcreat.prfmnc_reg_ymd; tb_rdrecordcreat.prfmnc_reg_cn; tb_rdrecordcreat.prfmnc_reg_stts
SRVC	7	tb_stbefrlslist.pre_orgd_srvc_type; tb_sterrorlog.srvc_se; tb_stlogmonitor.srvc_se
MNIT	7	tb_stlinktrgt.mnit_potno; tb_tkmonitor.mnit_id; tb_tkmonitor.mnit_sys_cd
MID	7	tb_zzorgcomstnd.brm_mid_fnct_nm; tb_zzsendunit.mid_fnct_cd; tb_zzsendunit.mid_fnct_nm
APPL	7	tb_zzorgunitworkhist.appl_crtr_ymd; tb_zzunitchgreq.appl_crtr_ymd; tb_zzunitdelreq.appl_crtr_ymd
MAIN	6	object_taget_data.main_prsn_flnm; tb_rdrecord.main_prsn_flnm; tb_zzsendunit.main_prsl_prps_cd
LANG	6	object_taget_data.lang; tb_rdattachfile.lang; tb_rdrecord.lang
AGND	6	object_taget_data.agnd_clsf; object_taget_data.agnd_dt; tb_rdrecord.agnd_clsf
QY	6	tb_adarchivalobj.qy; tb_srmfcopy.rprd_qy; tb_stcompuequip.prdct_qy
FRST	6	tb_adarchivalobj.frst_hold_ecnt; tb_gvrnprdl.frst_hold_ecnt; tb_rsrvdoc.tmpr_frst_se
IMG	6	tb_adarchivalobjimg.img_reg_seq; tb_adarchivalobjimg.img_file_nm; tb_adarchivalobjimg.img_file_path
ASMT	6	tb_crfolder.fls_asmt_se_cd; tb_mgfolder.fls_asmt_se_cd; tb_rdfolder.fls_asmt_se_cd
IDNTY	6	tb_dfdscdopnn.mf_stts_idnty_yn; tb_dfdscdopnn.opds_stts_idnty_yn; tb_srmfphtgdtl.idnty_yn
NTN	6	tb_dfdscdopnn.ntn_rm_cmit_evl_opnn_cd; tb_dfdscdopnn.ntn_rm_cmit_rsrv_pd_cd; tb_dfdscdopnn.ntn_rm_cmit_reap_prsr_pd
EDIT	6	tb_dftransferrorprcshist.edit_col_nm; tb_dftransferrorprcshist.edit_col_type; tb_dftransferrorprcshist.edit_user_nm
IDTF	6	tb_dftransfprcsrcpterror.fls_idtf; tb_dftransfreqerrorlist.fls_idtf; tb_dftransfacptnresult.fls_idtf
LWPR	6	tb_rsrvdoc.lwpr_symb_tbl; tb_rdattachfile.doc_type_lwpr_seq; tb_tkattachfile.doc_type_lwpr_seq
PSWD	6	tb_rdmachinecheckresult.pswd_yn; tb_stconfig.link_api_srvr_cntn_pswd; tb_stlinktrgt.link_api_srvr_pswd
ETL	6	tb_rdotherfolderprsldtl.etl_inst_rctr_id; tb_rdotherprslreq.etl_inst_rctr_id; tb_rdotherrecordprsldtl.etl_inst_rctr_id
HR	6	tb_rdrecordrel.rslt_prsl_hr; tb_sterrorlog.log_crt_hr; tb_stlogmonitor.log_crt_hr
RPRD	6	tb_srmfcopy.rprd_seq; tb_srmfcopy.rprd_ymd; tb_srmfcopy.rprd_qy
PRDCT	6	tb_srmfphtg.prdct_nm; tb_stcompuequip.prdct_nm; tb_stcompuequip.prdct_qy
IP	6	tb_stconfig.link_api_srvr_ip; tb_stdownipmng.user_ip_addr; tb_stformatsrvrinfo.srvr_ip_addr
CNTN	6	tb_stconfig.link_api_cntn_user_id; tb_stconfig.link_api_srvr_cntn_pswd; tb_stconfig.link_api_srvr_cntn_class
RSPNS	6	tb_stformat_file.rmt_cnvr_bgng_rspns_dt; tb_stformat_file.rmt_cnvr_end_rspns_dt; tb_stformat_hist.rmt_cnvr_frst_bgng_rspns_dt
SNDNG	6	tb_tkorgacptnplan.sndng_dt; tb_tkorgacptnplanpre.sndng_dt; tb_zzorgunitworkhist.sndng_dt
LRG	6	tb_zzsendunit.lrg_fnct_cd; tb_zzsendunit.lrg_fnct_nm; tb_zzunit.lrg_fnct_cd
CHS	6	tb_zztrace.chs_ymd; tb_zztrace.chs_seq; tb_zztracedochist.chs_doc_sn
CHWH	6	tb_zzunit.prsr_pd_chwh_cd; tb_zzunitchgreq.prsr_pd_cd_chwh; tb_zzunitchgreq.prsr_mthd_cd_chwh
ASNM	6	tb_zzunit.tmpr_unit_task_asnm; tb_zzunitchgreq.bfch_unit_task_asnm; tb_zzunitchgreq.afch_unit_task_asnm
DCDV	5	object_taget_data.dcdv_dlry_no; tb_crrecord.dcdv_dlry_no; tb_mgrecord.dcdv_dlry_no
TRNSTN	5	object_taget_data.trnstn_inpt_yn; tb_mgfolder.trnstn_inpt_yn; tb_mgrecord.trnstn_inpt_yn
PDF	5	object_taget_data.pdf_job_id; tb_rdrecord.pdf_job_id; tb_stformat_hist.pre_pdf_job_id
WRT	5	tb_dfdscddlbrdoc.dlbdc_wrt_rsn; tb_rcmissingmemo.wrt_inst_id; tb_rcmissingmemo.wrt_inst_nm
AFTR	5	tb_dfdscdhist.reap_aftr_prsr_pd; tb_dfdscdhist.reap_aftr_prsr_pd_rsn; tb_dfdscdopnnhist.evl_aftr_prsr_pd_cd
EXCEL	5	tb_dfdscdopnn.excel_dwnld_yn; tb_dfdscdopnn.ntn_rm_cmit_excel_dwnld_yn; tb_rdrlsclgnopnn.excel_dwnld_yn
COL	5	tb_dftransferrorprcshist.edit_col_nm; tb_dftransferrorprcshist.edit_col_type; tb_rdfoldererrcheck.err_col
NOFL	5	tb_mgbksh.bksh_nofl; tb_mgfolder.bksh_nofl; tb_srbksh.bksh_nofl
FLR	5	tb_mgbkshdposdtl.bksh_flr_no; tb_srbkshdposdtl.bksh_flr_no; tb_srmfphtg.bksh_flr_no
INDX	5	tb_mgfolderkwrd.indx_cycl; tb_mgrecordkwrd.indx_cycl; tb_rdfolderkwrd.indx_cycl
FOUR	5	tb_minutes.cn_four; tb_stformat_hist.prcs_stts_four; tb_stformat_hist.prcs_stts_dt_four
YY	5	tb_rsrvdoc.ofdc_prsr_pd_ten_yy; tb_rsrvdoc.ofdc_prsr_pd_five_yy; tb_rsrvdoc.ofdc_prsr_pd_thre_yy
FIVE	5	tb_rsrvdoc.ofdc_prsr_pd_five_yy; tb_stformat_hist.prcs_stts_five; tb_stformat_hist.prcs_stts_dt_five
SIX	5	tb_rsrvdoc.ofdc_prsr_pd_six_mts; tb_stformat_hist.prcs_stts_six; tb_stformat_hist.prcs_stts_dt_six
FQ	5	tb_rdfolder.prsl_fq; tb_zzsendunit.prsl_expc_fq; tb_zzunit.prsl_expc_fq
CEA	5	tb_srcntchck.cea_id; tb_srcntchckdtl.cea_id; tb_sroptidisk_cntchck.cea_id
CUT	5	tb_srmfphtg.cut_cnt; tb_srmfphtg.chc_cut_cnt; tb_srmfphtgdtl.bgng_cut_pstn
ORD	5	tb_stdept.ord; tb_storg.ord; tb_storg_sync.ord
ABL	5	tb_stdept.abl_yn; tb_storg.abl_yn; tb_storg_sync.abl_yn
VLD	5	tb_stformatpki.vld_pd_bgng_dt; tb_stformatpki.vld_pd_end_dt; tb_stformatpkihist.vld_pd_bgng_dt
ANCMNT	5	tb_stnoti.ancmnt_cn; tb_zzrecordclsfancmnt.ancmnt_year; tb_zzrecordclsfancmnt.ancmnt_file_nm
TELNO	5	tb_strecordcenter.telno; tb_strecordchrgr.telno; tb_stuser.telno
PROT	4	object_taget_data.sret_prot_pd; object_taget_data.prot_actn_need_yn; tb_rdrecord.sret_prot_pd
DESCN	4	object_taget_data.descn_cnd; object_taget_data.descn_nmpr_cnt; tb_rdrecord.descn_cnd
TERM	4	object_taget_data.dlbr_term_se; object_taget_data.dlbr_term; tb_rdrecord.dlbr_term_se
SPRVSN	4	object_taget_data.sprvsn_dept_id; object_taget_data.sprvsn_dept_nm; tb_rdrecord.sprvsn_dept_id
RMST	4	rms_history.rmst_ver; tb_streqclgnopnnfolder.prmn_rmst_fls_id; tb_streqclgnopnnrecord.prmn_rmst_fls_id
FORM	4	tb_adarchivalobj.form; tb_adarchivalobj.etc_form_expln; tb_gvrnprdl.form_mttr
PBANC	4	tb_adarchivalobj.dscd_pbanc_no; tb_adarchivalobj.dscd_pbanc_desc; tb_adarchivalobj.ofclsl_dscd_pbanc_yn
GIFT	4	tb_adarchivalobj.gift_recp; tb_adarchivalobj.gift_cbpr; tb_adarchivalobj.gift_rece_dt
ANNN	4	tb_crfolder.pdst_annn_id; tb_crfolder.pdst_annn_nm; tb_crntfctnfolder.pdst_annn_id
MXMM	4	tb_mgbksh.mxmm_acpt_prsr_box_cnt; tb_srbksh.mxmm_acpt_prsr_box_cnt; tb_srmfbksh.mxmm_dpos_film_cnt
PRCR	4	tb_mgfolder.rstr_prcr_info; tb_rdfolder.rstr_prcr_info; tb_rdrecord_restore.rstr_prcr_info
MNTS	4	tb_minutes.mnts_no; tb_minutes.mnts_year; tb_minutes.mnts_knd
BEHV	4	tb_rcmissingmemo.job_behv_dt; tb_rdfoldercreat.job_behv_dt; tb_rdftrkwrdtemp.behv_type_cd
MSG	4	tb_rcmissingmemoerror.err_msg; tb_rdrlsclgnopnnexcel.rslt_msg; tb_sterrorlog.err_msg
WRTR	4	tb_rdfoldercreat.wrtr_trdv_cd; tb_rdfoldercreat.wrtr_trdv_nm; tb_rdrecordcreat.wrtr_trdv_cd
MCHN	4	tb_rdmachinecheckresult.mchn_igi_id; tb_rdmachinecheckresult.mchn_igi_dt; tb_rdmachinecheckresult.mchn_igi_cnt
SRC	4	tb_rdrecordinfosrc.info_src_type_cd; tb_rdrecordinfosrc.info_src_seq; tb_rdrecordinfosrc.info_src_ttl
SPLMRC	4	tb_rdrecordsplmrccrrchist.splmrc_crrc_year; tb_rdrecordsplmrccrrchist.splmrc_crrc_user_id; tb_rdrecordsplmrccrrchist.splmrc_crrc_user_nm
FIX	4	tb_rffixreder.fix_redr_id; tb_rffixreder.fix_redr_ipadr; tb_rffixreder.fix_redr_potno
REDR	4	tb_rffixreder.fix_redr_id; tb_rffixreder.fix_redr_ipadr; tb_rffixreder.fix_redr_potno
RC	4	tb_rftabpub.rc_se; tb_rftemptoti.rc_se; tb_srprsrbox.dpos_rc_dcf_ecnt
FILM	4	tb_srmfbksh.mxmm_dpos_film_cnt; tb_srmfbksh.now_dpos_film_cnt; tb_srmfphtg.film_knd_cd
PRE	4	tb_stbefrlslist.pre_orgd_srvc_type; tb_stformat_hist.pre_pdf_job_id; tb_stformat_queue.pre_pdf_job_id
ABRV	4	tb_stdept.ognz_abrv_nm; tb_storg.trdv_abrv_nm; tb_storg_sync.trdv_abrv_nm
EXTN	4	tb_stfileextmng.file_extn; tb_stfileextmng.file_extn_nm; tb_stfileextmng.file_extn_expln
SQL	4	tb_stfolderquery.fls_sql_id; tb_stfolderquery.fls_sql_nm; tb_strecordquery.ritm_sql_id
VLM	4	tb_stmedium.vlm_id; tb_stvolm.vlm_id; tb_stvolm.vlm_nm
ONNARA	4	tb_storgdfile.onnara_file_id; tb_stuser.onnara_user_id; tb_tkattachfile.onnara_file_path
CLBN	4	tb_tkmonitor.trnsf_trgt_clbn_atrz_doc_ldgr_cnt; tb_tkmonitorinfo.trnsf_trgt_clbn_atrz_doc_ldgr_cnt; tb_transfdetailinfostathist.trnsf_trgt_clbn_atrz_doc_ldgr_cnt
ATRZ	4	tb_tkmonitor.trnsf_trgt_clbn_atrz_doc_ldgr_cnt; tb_tkmonitorinfo.trnsf_trgt_clbn_atrz_doc_ldgr_cnt; tb_transfdetailinfostathist.trnsf_trgt_clbn_atrz_doc_ldgr_cnt
LAOR	4	tb_zzfnctclsf.laor_grds; tb_zzfnctclsfhist.laor_grds; tb_zzfnctclsfrellaw.laor_id
EXPRY	3	j_attachfile.dwnld_expry_ymd; tb_stuser_sync.ctfe_expry_dt; tb_stuserpki.expry_dt
VRMS	3	object_taget_data.vrms_inpt_yn; tb_rdfolder.vrms_inpt_yn; tb_rdrecord.vrms_inpt_yn
SCAN	3	object_taget_data.scan_insp_cmptn_yn; tb_mgfolder.scan_stts; tb_rdrecord.scan_insp_cmptn_yn
NMPR	3	object_taget_data.descn_nmpr_cnt; tb_rdrecord.descn_nmpr_cnt; tb_strecordcenter.nmpr_dpos_crst
ADPRV	3	object_taget_data.adprv_rls_yn; tb_rdrecord.adprv_rls_yn; tb_rdrecordcreat.adprv_yn
TPGNO	3	tb_crfolder.ritm_tpgno; tb_mgfolder.ritm_tpgno; tb_rdfolder.ritm_tpgno
TRMN	3	tb_crfolder.frns_trmn_dt; tb_mgfolder.frns_trmn_dt; tb_rdfolder.frns_trmn_dt
ACCUM	3	tb_crntfctnfolder.prdctn_user_nm_accum; tb_crntfctnrecord.task_pic_nm_accum; tb_sroptidisk.accum_sn
TMPLT	3	tb_crntfctnform.ntfctn_tmplt_type_cd; tb_crsendreport.pdst_ntfctn_tmplt_rpt_year; tb_crsendreport.ntfctn_tmplt_no
RFLT	3	tb_dfdscddlbrdoc.rslt_rflt_yn; tb_streqcnvr.stts_rflt_yn; tb_zzstndmng.rflt_yn
DSPS	3	tb_dfdscdhist.dlcn_dscd_dsps_ymd; tb_dfdscdhist.dscd_dsps_ymd; tb_dfdscdopnn.dscd_dsps_ymd
ENNC	3	tb_dforgtkovlist.qlin_err_ennc; tb_dforgtkovlist.igi_err_ennc; tb_srcntchckdtl.abnr_ennc
CLR	3	tb_dftransflistrcptresult.clr_ogdp_inst_nm; tb_dftransflistrcptresult.clr_jbgd_nm; tb_dftransflistrcptresult.clr_nm
OGDP	3	tb_dftransflistrcptresult.clr_ogdp_inst_nm; tb_srcryn.cryn_user_ogdp_inst_nm; tb_srout.shpgot_user_ogdp_inst_nm
META	3	tb_dftransfstorefld.fls_meta_file_sz; tb_dftransfstorercd.ritm_meta_file_sz; tb_dftransfstoreprttnlist.prttn_meta_file_sz
TCPCT	3	tb_dftransfstoremst.strg_md_tcpct; tb_sroptidisk.tcpct; tb_stmedium.tcpct
AGRE	3	tb_gvrnprdl.cpyr_agre_type; tb_streqclgnopnnfolder.trdv_rvw_opnn_agre_yn; tb_streqrevlopnnfolder.trdv_rvw_opnn_agre_yn
MTTR	3	tb_gvrnprdl.form_mttr; tb_transfdetailinfostathist.trnsf_trgt_dret_mttr_cnt; tb_transfinfostathist.trnsf_trgt_dret_mttr_tcnt
SYMB	3	tb_rsrvdoc.lwpr_symb_tbl; tb_sroptidisk.prsr_pd_se_symb; tb_sroptidisk.rls_se_symb
MM	3	tb_rcmissingmemo.crt_mm; tb_rcmissingmemoerror.crt_mm; tb_rcmissingmemoplan.crt_mm
NTC	3	tb_rdfolder.trnsf_ntc; tb_rdrecordmeetingopnn.pbrc_rply_ntc; tb_tkorgrcpterror.prcs_ntc
DSPTCH	3	tb_rdrecordcreat.rcpt_doc_dsptch_inst_nm; tb_rdrecordcreat.rcpt_doc_dsptch_ofclnm; tb_rdrecordcreat.dsptch_inst_nm
USG	3	tb_rffixreder.instl_usg; tb_stformatpki.ctfe_usg; tb_stformatpkihist.ctfe_usg
EQPMNT	3	tb_stcompuequip.eqpmnt_nm; tb_stprsrequip.eqpmnt_clsf_cd; tb_stprsrequip.eqpmnt_type
SLR	3	tb_stdisinf.slr_ymd; tb_stdisinf.slr_trgt_cd; tb_stdisinf.slr_user_nm
FAIL	3	tb_sterrorlog.scs_fail_yn; tb_sthomeduty.fail_cnt; tb_stlogmonitor.scs_fail_yn
DETL	3	tb_sterrorlog.err_detl_dsctn; tb_zzfnctclsf.rls_detl_crtr; tb_zzfnctclsf.prsl_scpe_detl_crtr
INQ	3	tb_stnoti.inq_cnt; tb_stqna.inq_cnt; tb_strefdata.inq_cnt
CLOUD	3	tb_storgdfile_cloud.cloud_mgr; tb_storgdpage_cloud.cloud_mgr; tb_storgdpdfa1file_cloud.cloud_mgr
MGR	3	tb_storgdfile_cloud.cloud_mgr; tb_storgdpage_cloud.cloud_mgr; tb_storgdpdfa1file_cloud.cloud_mgr
OPER	3	tb_strecordcenter.oper_dept_nm; tb_strecordcenter.oper_pic_nm; tb_strecordcenter.oper_rule_estb_yn
CRST	3	tb_strecordcenter.nmpr_dpos_crst; tb_streportrslt.rctr_crst_rpt_rcpt_year; tb_streportrslt.crst_rpt_rcpt_err_dsctn
BRM	3	tb_strecordcenter.brm_type; tb_zzorgcomstnd.brm_mid_fnct_nm; tb_zzorgcomstnd.brm_sfct_nm
ARSM	3	tb_strecordcenter.arsm_prdct_nm; tb_strecordcenter.arsm_use_bgng_ymd; tb_strecordcenter.arsm_use_end_ymd
EML	3	tb_strecordchrgr.eml; tb_stuser.eml; tb_stuserhist.eml
MKR	3	tb_streqfile.orgd_stmd_mkr; tb_streqresult.trgt_stmd_mkr; tb_streqcnvr.trgt_stmd_mkr
PARM	3	tb_streqcnvr.parm_xml; tb_streqcnvr.rm_sys_parm_xml; tb_stschedule.job_parm
XML	3	tb_streqcnvr.parm_xml; tb_streqcnvr.rm_sys_parm_xml; tb_tkorgacptnerror.xml_file_nm
WORK	3	tb_stuser.work_yn; tb_stuser_sync.work_yn; tb_stuserhist.work_yn
SSO	3	tb_stuser.sso_yn; tb_stuser.sso_key; tb_stuserhist.sso_yn
FLUP	3	tb_stworkhist.flup_actn_se_cd; tb_stworkhist.flup_actn_rsn; tb_stworkhist.flup_actn_cmptn_yn
PLCY	3	tb_zzfnctclsf.plcy_impl; tb_zzfnctclsf.plcy_stng; tb_zzfnctclsf.plcy_sprt
RGN	3	tb_zzfnctclsf.rgn_nm; tb_zzunitchgreq.bfch_prsr_rgn_cd; tb_zzunitchgreq.afch_prsr_rgn_cd
THON	3	tb_zzunitchgreq.bfch_thon_spcl_list; tb_zzunitchgreq.afch_thon_spcl_list; tb_zzunitchgreq.thon_spcl_list_chg_rsn
THTW	3	tb_zzunitchgreq.bfch_thtw_spcl_list; tb_zzunitchgreq.afch_thtw_spcl_list; tb_zzunitchgreq.thtw_spcl_list_chg_rsn
THTH	3	tb_zzunitchgreq.bfch_thth_spcl_list; tb_zzunitchgreq.afch_thth_spcl_list; tb_zzunitchgreq.thth_spcl_list_chg_rsn
TBL	2	comtecopseq.tbl_nm; tb_rsrvdoc.lwpr_symb_tbl
PRSN	2	object_taget_data.main_prsn_flnm; tb_rdrecord.main_prsn_flnm
FLNM	2	object_taget_data.main_prsn_flnm; tb_rdrecord.main_prsn_flnm
CESE	2	object_taget_data.cese_doc_se_cd; tb_rdrecord.cese_doc_se_cd
RTRVL	2	object_taget_data.rtrvl_type_cd; tb_rdrecord.rtrvl_type_cd
NEED	2	object_taget_data.prot_actn_need_yn; tb_rdrecord.prot_actn_need_yn
CND	2	object_taget_data.descn_cnd; tb_rdrecord.descn_cnd
CAUSE	2	object_taget_data.dret_cause; tb_rdrecord.dret_cause
PRBLM	2	object_taget_data.flfmt_prblm; tb_rdrecord.flfmt_prblm
DB	2	rms_history.db_ver; tb_storgdpage_cloud.db_use
QOMT	2	tb_adarchivalobj.qomt; tb_adarchivalobj.etc_qomt_expln
OBTN	2	tb_adarchivalobj.obtn_ymd; tb_adarchivalobj.obtn_crcm
CRCM	2	tb_adarchivalobj.obtn_crcm; tb_adarchivalobj.gift_rece_crcm
CBPR	2	tb_adarchivalobj.cbpr; tb_adarchivalobj.gift_cbpr
RECE	2	tb_adarchivalobj.gift_rece_dt; tb_adarchivalobj.gift_rece_crcm
CNSLTN	2	tb_adarchivalobj.trnsf_cnsltn_cn; tb_rdrecordsplmrccrrchist.cnsltn_cn
SRNG	2	tb_adarchivalobjdscd.splst_srng_opnn; tb_rdrecordprslscpe.splst_srng_opnn_reg_ymd
NMTM	2	tb_crreporthist.file_crt_nmtm; tb_dforgtkov.file_crt_nmtm
DAY	2	tb_dfdscdphbt.dscd_phbt_day; tb_zzunitreq.aprv_aply_day
