단어명	영문약어	영문명	형식단어	도메인	표준여부	설명
국가	NTN	Nation	N		Y	國家. 일정한 영토와 거기에 사는 사람들로 구성되고, 주권(主權)에 의한 하나의 통치 조직
국가기록원	NARS	NATIONAL ARCHIVES	N		N	국가기록원
국무	STAF	STATE AFFAIRS	N		N	國務 나라의 정무. 나라를 맡아 다스리고 이끌어 가는 일
국적	NTNLTY	Nationality	N		Y	國籍. 한 나라의 구성원이 되는 자격. 또는 소속되어 있는 나라.
국제표준	IS	INTERNATIONAL STANDARD	N		N	국제표준화기구(ISO) 또는 국제전기기술위원회(IEC)에 의해 채택된 국제적 표준
[KS 
군	ARMY	ARMY	N		Y	軍
 일정한 규율과 편제로 조직된 군인 집단
권	VLM	VOLUME	N		Y	卷
 책을 세는 단위. 여럿이 모여 한 벌을 이룬 책에서 그 순서를 나타내는 말.
권수	BKQY	BOOK QUANTITY	Y		N	책의 개수. 권수
권역	SAREA	Sub-Area	N		Y	圈域. 어떤 특정한 범위 안의 지역
권한	AUTHRT	Authority	N		Y	權限. 어떤 사람이나 기관의 권리나 권력이 미치는 범위
권호수	BKNO	BOOK NUMBER	Y		N	책이 나눠진 경우의 호수
귀속	BLN	Belonging	N		Y	歸屬. 재산이나 영토, 권리 따위가 특정 주체에 붙거나 딸림
규격	SPCFCT	Specification	N		Y	規格. 일정한 규정에 들어맞는 격식
규격검사	SDIS	STANDARD INSPECTION	N		N	규격에 대하여 검사함
규모	SCLE	SCALE	N		Y	規模
 사물이나 현상의 크기나 범위. 씀씀이의 계획성이나 일정한 한도.
규칙	RULE	RULE	N		Y	規則
 여러 사람이 다 같이 지키기로 작정한 법칙. 또는 제정된 질서. 헌법이나 법률에 입
그룹	GROUP	Group	N		Y	Group. 함께 행동하거나 공통점이 있어 한데 묶일 수 있는 사람들이나 사물의 무리
근거	GRDS	GROUNDS	N		N	根據
 어떤 의견이나 의론(議論) 따위의 이유 또는 바탕이 됨, 또는 그런 것
근로자	WRKR	Worker	N		Y	勤勞者. 근로에 의한 소득으로 생활을 하는 사람
근무	WORK	Work	N		Y	勤務. 직장에 적을 두고 직무에 종사함
근무일	WRKDY	Working Day	N		Y	勤務日. 근무하는 날
근무지	POWK	Place Of Work	N		Y	勤務地. 근무하는 곳
글리프	GLP	GLYPH	N		N	정보기술에서 문자의 모양이나 형태를 나타내는 그래픽 기호, 부호화한 문자를 그림으로 나타낸
금액	AMT	Amount	Y	금액	Y	金額. 돈의 액수
금융기관	FNST	Financial Institution	N		Y	金融機關. 예금에서 자금을 조달하여 기업이나 개인에 대부하거나 증권 투자 따위를 하는 기관
금지	PHBT	PROHIBITION	N		N	禁止
법이나 규칙이나 명령 따위로 어떤 행위를 하지 못하도록 함.
기간	PD	PERIOD	N		Y	期間
 어느 때부터 다른 어느 때까지의 동안.
기계	MCHN	MACHINE	N		Y	機械 동력을 써서 움직이거나 일을 하는 장치.
기계목재펄프	MWP	MECHANICAL WOOD PULP	N		N	불순물이 제거되지 않은 목재를 기계로 파쇄하여 만들어진 펄프

비고 그라운드 목재 또는 흔
기계식	MCNCL	Mechanical	N		Y	機械式. 기계를 이용하는 방식
기관	INST	Institution	N		Y	機關. 사회생활의 영역에서 일정한 역할과 목적을 위하여 설치한 기구나 조직
기관장	INLD	INSTITUTION LEADER	N		N	기록관(특수기록관) 설치 대상 공공기관의 기관장
기관정보	INTO	INSTITUTION INFORMATION	N		N	機關
 사회생활의 영역에서 일정한 역할과 목적을 위하여 설치한 기구나 조직.
[법률정의] 
기능	FNCT	FUNCTION	N		Y	機能 
권한이나 직책, 능력 따위에 따라 일정한 분야에서 하는 역할과 작용.
기능분류	BM	BUSINESS REFERENCE MODEL CLASS	N		N	행정기관의 업무 및 그와 관련된 정보를 체계적으로 관리·활용하기 위하여 행정기관의 업무를 
기능유형	FNTY	FUNCTION TYPE	N		Y	機能類型
 기술적인 능력이나 재능의 종류
기록	RC	RECORD	N		Y	記錄
 후일에 남길 목적으로 어떤 사실을 적음. 또는 그런 글
기록계층	AGL	AGGREGATION LEVEL	N		N	기록물을 기술하거나 통제하는 기록물의 단위. 기록계층은 기록물철, 기록물건, 컴포넌트로 나
기록관	RCTR	RECORDS CENTER	N		N	공공기록물을 관리하기 위해 공공기관에 설치하는 기록물관리기관. 기록물을 생산부서로부터 인수
기록관리	RM	Record Management	N		N	기록 관리
기록관리기준	RMGBAS	RECORD MANAGEMENT BASE	N		N	기록 관리 기준
기록관리메타데이터	MMR	METADATA FOR MANAGING RECORDS	N		N	기록의 맥락과 내용, 구조 및 기록 생애주기 동안의 관리사항을 기술한 데이터

비고 기록물
기록관리시스템	RMST	RECORDS MANAGEMENT 
SYSTEM	N		N	기록관 및 특수기록관에서 기록관리를 전자적으로 수행하는 시스템
기록관리자	RMGR	RECORDS MANAGER	N		N	기록관 또는 특수기록관에서 당해 공공기관의 기록관리 업무를 수행하는 자 

비고 일반적으로
기록관리표준	RMS	RECORDS MANAGEMENT STANDARDS	N		N	기록물의 체계적·전문적 관리 및 효율적 활용을 위하여 중앙기록물관리기관이 제정·시행하는 표
기록물	PBRC	PUBLIC RECORDS	N		N	공공기관이 업무와 관련하여 생산 또는 접수한 문서ㆍ도서ㆍ대장ㆍ카드ㆍ도면ㆍ시청각물ㆍ전자문서 
기록물건	RITM	RECORDS ITEM	N		N	더 이상 나눌 수 없는 기록물의 최소단위. 하나의 기록물건에는 다양한 유형의 첨부물이 존재
기록물계열	RSR	RECORDS SERIES	N		N	동일한 행위나 기능을 수행하는 과정에서 생산ㆍ접수ㆍ이용되었거나, 함께 파일링되었기 때문에,
기록물관리기관	RA	RECORDS CENTER AND ARCHIVES	N		N	기록물관리를 위한 일정한 시설 및 장비를 갖추고 이를 운영하기 위한 전문 인력을 배치하여 
기록물군	RGRP	RECORDS GROUP	N		N	특정 기관, 조직, 단체, 개인이 업무나 활동을 수행하는 과정에서 생산 또는 수집한 모든 
기록물철	FLS	FILES	N		N	기록물계열 또는 기록물하위계열 내에서 최소의 단위사안별로 분류된 기록물의 집합. 대체로 기
기록물철분류번호	FLS_CLNO	FILES CLASSIFICATION NUMBER	Y		N	
기록물컬렉션	RCL	RECORDS COLLECTION	N		N	개인이나 조직, 기록물관리기관이 다양한 출처로부터 수집한 공통적 특성을 갖는 인위적인 기록
기록물폐기심의서	PDBR	PUBLIC RECORDS(기록물), DESTRUCTION OR DISPOSAL(폐기), DELIBERATION(심의), DOCUMENT(문서)	N		N	
기록자	RCDR	Recorder	N		Y	記錄者. 기록을 하는 사람
기본	BSC	Basic	N		Y	基本. 사물이나 현상, 이론, 시설 따위를 이루는 바탕
기술	DESC	DESCRIPTION	N		N	記述. 대상이나 과정의 내용과 특징을 있는 그대로 열거하거나 기록하여 서술함. 또는 그런 
기술계층	LOD	LEVEL OF DESCRIPTION	N		N	기술단위의 분류체계상 위치. 일반적인 영구기록물의 분류체계는 기록물군이나 컬렉션, 기록물계
기술단위	DU	DESCRIPTIVE UNIT	N		N	기술의 대상이 되는 기록물의 단위. 일반적으로 기록물군이나 컬렉션, 기록물 계열, 기록물철
기술서	DSPP	DESCRIPTION PAPER	N		N	기술
기술요소	DELM	DESCRIPTIVE ELEMENTS	N		N	기술영역을 구성하는 요소들. 단어, 문장 또는 기호를 사용하여 해당 기술단위를 설명해준다.
기안	DRFT	Drafting	N		Y	起案. 사업이나 활동 계획의 초안草案.을 만듦. 또는 그 초안
기업	ENT	Enterprise	N		Y	企業. 영리(營利)를 얻기 위하여 재화나 용역을 생산하고 판매하는 조직체
기원	ORGN	Origin	N		Y	基源. 어떤 사건이나 원인의 처음
기준	CRTR	Criteria	N		Y	基準. 기본이 되는 표준
기증	CTRB	CONTRIBUTION	N		Y	寄贈
 선물이나 기념으로 남에게 물품을 거저 줌.
기증자	CBPR	CONTRIBUTION PERSON	N		N	寄贈者
 선물이나 기념으로 남에게 물품을 거저 주는 사람.
기타	ETC	Etc	N		Y	其他. 그 밖의 또 다른 것
기한	TERM	Term	N		Y	期限. 미리 한정하여 놓은 시기로 법률 행위의 효력의 발생 및 소멸, 채무 이행을 장래에 
기호	SYMB	SYMBOL	N		Y	記號
 어떠한 뜻을 나타내기 위하여 쓰이는 부호, 문자, 표지 따위를 통틀어 이르는 말.
긴급	EMRG	Emergency	N		Y	緊急. 긴요하고 급함
긴급구조	ER	EMERGENCY RESCUE	N		N	재난이 발생할 우려가 현저하거나 재난이 발생한 때에 국민의 생명ㆍ신체 및 재산의 보호를 위
긴급구조기관	ERAG	EMERGENCY RESCUE 
AGENCY	N		N	소방방재청ㆍ소방본부 및 소방서. 다만 해양에서 발생한 재난의 경우에는 해양경찰청ㆍ지방해양경
긴급구조지원기관	ERSA	EMERGENCY RESCUE 
SUPPORTING AGENCY	N		N	긴급구조에 필요한 인력ㆍ시설 및 장비를 갖춘 기관 또는 단체로서 대통령령이 정하는 기관 및
길이	LT	LENGTH	Y		Y	어떤 물건의 한 끝에서 다른 한 끝까지의 사이
낙찰	SCSBD	Successful Bid	N		Y	落札. 경매나 경쟁 입찰 따위에서 물건이나 일이 어떤 사람이나 업체에 돌아가도록 결정하는 
날짜	DATE	Date	Y	연월일	N	날짜
납기	DUDT	Due Date	N		Y	納期. 세금이나 공과금 따위를 내는 시기나 기한
납본	POSC	PRESENTATION OF A SPECIMEN COPY	N		Y	納本
 새로 발간한 출판물을 본보기로 해당 기관에 제출함
납부	PAY	Payment	N		Y	納付/納附. 세금이나 공과금 따위를 관계기관에 냄
납부자	RTPYR	Ratepayer	N		Y	納付者. 세금이나 공과금 따위를 관계 기관에 내는 사람.
납세자	TXPR	Taxpayer	N		Y	納稅者. 세금을 내는 사람
납품	DLVGDS	Delivery Of Goods	N		Y	納品. 계약한 곳에 주문받은 물품을 가져다줌. 또는 그 물품
내선	EXT	Extension	N		Y	內線. 관청이나 회사 따위의 구내에서만 통하는 전화선
내역	DSCTN	Description	Y	내용	Y	內譯. 물품이나 금액 따위의 내용
내용	CN	Content	Y	내용	Y	內容. 말, 글, 그림, 연출 따위의 모든 표현 매체 속에 들어 있는 것. 또는 그런 것들
내용연수	SVLF	Service Life	Y	수	Y	耐用年數. 감가상각의 기준이 되는, 유형 고정 자산의 효용이 지속되는 기간의 햇수
네거티브필름	NF	NEGATIVE FILM	N		N	촬영을 통해 필름에 옮겨진 피사체의 상(像)을 현상했을 때 그 상이 피사체 본래의 밝기정도
네오	NEO	NEO	N		N	네오파일
네임스페이스	NMSP	NAMESPACE	N		N	특정도메인에서 각각의 대상에게 유일한 명칭을 명명하는 메커니즘

비고 주제명표와 같은 제어
네트워크	NTWK	NETWORK	N		Y	랜(LAN)이나 모뎀 따위의 통신 설비를 갖춘 컴퓨터를 이용하여 서로 연결시켜 주는 조직이
년	YY	YEAR	N		N	年
해를 세는 단위
년간	FYER	FOR A YEAR	N		Y	年間 한 해 동안.
년도	YEAR	YEAR	Y	년도	Y	年度
 일정한 기간 단위로서의 그해
노선	RTE	Route	N		Y	路線. 자동차 선로, 철도 선로 따위와 같이 일정한 두 지점을 정기적으로 오가는 교통선
노출	EXPSR	Exposure	N		Y	露出. 겉으로 드러나거나 드러냄
녹음	REC	RECORDING	N		Y	錄音
 소리를 재생할 수 있도록 기계로 기록하는 일. 원판을 쓰는 기계적 녹음, 필름을 쓰
높이	HG	HEIGHT	N		Y	높은 정도
누락	OVRS	OVERSIGHT	N		Y	漏落
 기입되어야 할 것이 기록에서 빠짐. 또는 그렇게 되게 함.
누리집	HMPG	Homepage	N		Y	개인이나 단체가 월드 와이드 웹에서 볼 수 있게 만든 하이퍼텍스트. 개인의 관심사나 단체의
누적	ACCUM	Accumulate	N		N	포개어 여러 번 쌓음. 또는 포개져 여러 번 쌓임
니어라인	NRLN	NEAR LINE	N		N	비활성화된 온라인 저장장치의 데이터를 니어라인 저장장치로 이동시켜 온라인 디스크가 더 많은
다량	BULK	Bulk	N		Y	多量. 많은 분량
다운로드	DWNLD	Download	N		Y	컴퓨터 통신망을 통하여 파일이나 자료를 받아 오는 것
다음	NEXT	Next	N		N	어떤 차례의 바로 뒤, 어떤 시간이 지난 뒤
다중	MULTI	MULTITUDE	N		N	多重 여러 겹
다중세션전송	MSTR	MULTI SESSION TRANSFER	N		N	하나 또는 다수의 송신모듈에서 수신모듈로 파일을 전송할 때 여러 세션을 이용해 병렬로 전송
다중파일전송	MFTR	MULTI FILE TRANSFER	N		N	송신모듈에서 수신모듈로 파일을 전송할 때 생성된 하나의 세션을 유지하면서 순차적으로 전송하
단가	UNTPRC	Unit Price	Y	금액	Y	單價. 물건 한 단위(單位)의 가격
단계	STEP	STEP	N		Y	段階
 일의 차례를 따라 나아가는 과정.
단말기	TRMNL	Terminal	N		Y	端末機. 중앙에 있는 컴퓨터와 통신망으로 연결되어 데이터를 입력하거나 처리 결과를 출력하는
단번호	RNO	ROW NUMBER	Y		N	예) 서고관리 - 단번호
단속	CRDN	Crackdown	N		Y	團束. 규칙이나 법령, 명령 등을 지키도록 통제함
단위	UNIT	Unit	N		Y	單位. 길이, 무게, 수효, 시간 따위의 수량을 수치로 나타낼 때 기초가 되는 일정한 기준
단위과제	UNTK	UNIT TASK	N		N	정부기능분류체계의 최하 단위로 행정업무 수행의 기준이 되는 것으로서 업무 간 유사성 및 독
단일	SNGL	SINGLENESS	N		Y	單一
 단 하나로 되어 있음. (구성이나 구조가) 복잡하지 않음
단체	GRP	Group	N		Y	團體. 같은 목적을 달성하기 위하여 모인 사람들의 일정한 조직체
달력	CALENDAR	Calendar	N		N	달曆 1년 가운데 달, 날, 요일, 이십사절기, 행사일 따위의 사항을 날짜에 따라 적어 놓
담당	TKCG	Taking Charge	N		Y	擔當. 어떤 일을 맡음
담당자	PIC	Person In Charge	N		Y	擔當者. 어떤 일을 맡아서 하는 사람
답변	ANS	Answer	N		Y	答辯. 물음에 대하여 밝혀 대답함. 또는 그런 대답
답변자	ANSWR	Answerer	N		Y	答辯者. 묻는 말에 대하여 밝혀 답하는 사람
대	LRG	Large things	N		N	大 큰 것
대기열	WTLN	WAITING LINES	N		N	待機列
들어오는 상품이나 손님들이 어떤 특정한 서비스 지점이 혼잡하여 잘 통과되지 않은 상
대등	EQTR	EQUAL TERMS	N		Y	[對等]서로 견주어 높고 낮음이나 낫고 못함이 없이 비슷함
대량	LQ	LARGE QUANTITY	N		N	양이 많음
대리	AGNC	AGENCY	N		Y	代理
 남을 대신하여 일을 처리함. 은행이나 회사 따위의 집단에서 부장, 지점장, 과장 등
대리인	AGT	Agent	N		Y	代理人. 다른 사람을 대신하는 사람
대분류	LCLSF	Large-Scale Classification	N		Y	大分類. 크게 나누어 가름
대상	TRGT	Target	N		Y	對象. 어떤 일의 상대 또는 목표나 목적이 되는 것
대상자	TRPR	Target Person	N		Y	對象者. 대상이 되는 사람이나 집단
대수	CNTOM	Count Of Machines	Y	수	Y	臺數. ‘대’(臺)로 세는 차/기계 따위의 수
대시보드	DSBD	DASHBOARD	N		N	한 화면에서 다양한 정보를 중앙 집중적으로 관리하고 찾을수 있도록 하는 사용자 인터페이스 
대용량	MASS	MASSIVE VOLUME	N		N	大容量  아주 큰 용량
대장	LDGR	Ledger	N		Y	臺帳. 어떤 근거가 되도록 일정한 양식으로 기록한 장부나 원부
대지면적	SIAR	Site Area	Y	면적	Y	大地面積. '건축법' 상 건물을 건축할 수 있는 대지의 넓이로, 도시ㆍ군계획시설에 포함되는
대출	LOAN	Loan	N		Y	貸出. 돈이나 물건 등을 빌려주거나 빌림
대통령	PRSD	PRESIDENT	N		Y	大統領
 외국에 대하여 국가를 대표하는 국가의 원수.
대표	RPRS	Representation	N		Y	代表. 전체의 상태나 성질을 어느 하나로 잘 나타냄. 또는 그런 것
대표자	RPRSV	Representative	N		Y	代表者. 전체를 대표하는 사람
댓글	CMNT	Comment	N		Y	對글. 인터넷에 오른 원문에 대하여 짤막하게 답하여 올리는 글
데몬	DMON	DEMON	N		Y	유닉스 등에서 백그라운드에서 프로세스 상태로 있다가 접근요청이 있을 때 이를 처리해 주는 
도로	ROAD	Road	N		Y	道路. 사람, 차 따위가 잘 다닐 수 있도록 만들어 놓은 비교적 넓은 길
도메인	DMN	DOMAIN	N		N	도메인
도면	FLRPLN	Floor Plan	N		Y	圖面. 토목, 건축, 기계 따위의 구조나 설계 또는 토지, 임야 따위를 제도기를 써서 기하
도면용지	DP	DRAFTING PAPER	N		N	제도, 도화 등에 사용하는 종이의 총칭
도서	BOOK	Book	N		Y	圖書. 일정한 목적, 내용, 체재에 맞추어 사상, 감정, 지식 따위를 글이나 그림으로 표현
도시	CTY	City	N		Y	都市. 일정한 지역의 정치ㆍ경제ㆍ문화의 중심이 되는, 사람이 많이 사는 지역
도엽	MAPSHT	Map Sheet	N		Y	圖葉. 일정한 도식과 분할되어 한정된 방향으로 통일된 지역을 자른 도면 형식의 지도로 1매
도움말	HELP	HELP	N		N	말로 거들거나 깨우쳐 주어서 도움. 또는 그 말
도입	INCT	INDUCTION	N		Y	導入 기술, 방법, 물자 따위를 끌어 들임.
도착	ARVL	Arrival	N		Y	到着. 목적한 곳에 다다름
독일어	GERL	GERMAN LANGUAGE	N		N	인도,유럽 어족 게르만 어파의 서게르만 어군에 속한 언어.
독촉장	URSH	URGE SHEET	N		Y	督促狀
 어떤 약속이나 의무를 빨리 이행하도록 재촉하는 문서.
동거	CHBTN	Cohabitation	N		Y	同居. 한집이나 한방에서 같이 삶
동기화	SYNCZTN	Synchronization	N		N	同期化. IT : 작업들 사이의 수행 시기를 맞추는 것. 사건이 동시에 일어나거나, 일정한
동영상	VDO	Video	N		Y	動映像. 컴퓨터 모니터의 화상이 텔레비전의 화상처럼 움직이는 것
동의	AGRE	Agreement	N		Y	同議. 같은 의견이나 논의
동일	SAME	Same	N		N	어떤 것과 비교하여 똑같음
두께	THCK	THICKNESS	N		Y	물건의 두꺼운 정도.
드라이브	DRV	DRIVE	N		N	<컴퓨터>디스크를 동작하게 하여 데이터를 판독하거나 기록하는 장치
예) DVD수록네트워크드
등급	GRD	Grade	N		Y	等級. 높고 낮음이나 좋고 나쁨 따위의 차이를 여러 층으로 구분한 단계
등기	RG	Registered	N		Y	登記. 국가 기관이 법정 절차에 따라 등기부에 부동산이나 동산ㆍ채권 등의 담보 따위에 관한
등록	REG	Registration	N		Y	登錄. 일정한 자격 조건을 갖추기 위하여 단체나 기관에 문서를 올리거나 법정(法定)의 공부
등록실	RGRM	REGISTRATION ROOM	N		N	인수된 기록물의 기본목록(기록물종류, 기록물철명, 보존기간, 생산연도 등) 및 세부목록(건
등록자	RGTR	Registrant	N		Y	登錄者. 일정한 자격 조건을 갖추기 위하여 단체나 학교 따위에 문서를 올린 사람
디렉토리	DRCT	DIRECTORY	N		Y	파일 시스템을 관리하고, 각 파일이 있는 장소를 쉽게 찾도록 디스크의 요소를 분할?검색하는
디스패치	DPTCH	Dispatch	N		N	IT : 복수의 프로그램을 동시에 실행하는 멀티태스크 오퍼레이팅 시스템이 다음에 실행해야 
디지털화	DGTZ	DIGITIZATION	N		N	스캐닝 또는 인코딩 장비를 이용하여 비전자기록물을 디지털 형태로 변환하는 과정

비고 디지
띄어쓰기	WDSP	WORD SPACING	N		N	글을 쓸 때, 각 낱말을 띄어 쓰는 일.
라벨	LBL	Label	N		Y	Label. 파일의 관리나 처리의 편의를 위하여 파일에 붙이는 특별한 항목 표시 기록
라인	LINE	LINE	N		N	라인(line)[명사]
1.선(線). 줄. 【예】파울 라인./공이 라인 밖으로 나가다.
2
레벨	LEV	LEVEL	N		Y	지위나 품질 따위의 일정한 표준이나 정도.
련방향	CDIR	COLUMN DIRECTION	N		N	예) 서고관리 - 련방향
련번호	CNO	COLUMN	Y		N	예) 서고관리 - 련번호
로그	LOG	Log	N		Y	LOG. 시스템 사용에 관련된 전체의 기록, 즉 입출력 내용, 프로그램 사용 내용, 자료변
로그아웃	LGT	Log-Out	N		Y	사용 중인 네트워크에서 업무를 끝마치고 주 컴퓨터와의 연결을 끊고 나오는 일
로그인	LGN	Login	N		Y	다중 사용자 시스템을 사용하기 위하여 컴퓨터에 사용자임을 알리는 일. 미리 등록되어 있는 
롤	ROLL	ROLL	N		N	필름주위를 긴 종이로 감아 빛을 차단한 두루말이 형태의 필름. 즉 초기 코닥카메라에 쓰여진
룩스	LUX	LUX	N		N	조명의 세기 측정 단위(1lux=1 lumen per square meter)

비고 열람
리	LI	Li	N		Y	里. 지방 행정의 말단 구역. 몇 개의 촌락이 모여 이루어지며, 읍과 면(面)의 아래에 둔
리더기	REDR	Reader of digital data	N		N	IT : 메모리를 컴퓨터에서 이동식 디스크로 인식해서 데이터를 전송하게 해 주는 장치
리프캐스팅	LCST	LEAF-CASTING	N		N	훼손된 종이 기록의 결실(缺失)부분을 메울 때 사용하는 방법으로 물속에 종이 펄프를 풀어 
마감	DDLN	Deadline	N		Y	하던 일을 마물러서 끝냄. 또는 그런 때, 정해진 기한의 끝
마이그레이션	MGR	MIGRATION	N		N	기록의 진본성, 무결성, 신뢰성, 이용가능성을 유지하면서 한 시스템에서 다른 시스템으로 기
만가	FLBS	FULL OF BOOKSHELF	N		N	"서가"가 가득참   예) 서고관리 - 서가 - 만가상태
만기	MTRY	Maturity	N		Y	晩期. 정해진 기간이나 일의 끝이 되는 때나 시기
만료	EXPRY	Expiry	N		Y	滿了. 기한이 다 차서 끝남
만족	STSF	SATISFACTION	N		N	만족함
만족도	DGSTFN	Degree Of Satisfaction	N		Y	滿足度. 만족을 느끼는 정도
말소	ERSR	Erasure	N		Y	抹消. 기록되어 있는 사실 따위를 지워서 아주 없애 버림
매립지	RCMLND	Reclaimed Land	N		Y	埋立地. 낮은 땅을 돌이나 흙 따위로 메워 돋운 땅
매수	NMRS	NUMBER OF SHEET	N		N	枚數 종이나 유리 따위의 장으로 셀 수 있는 물건의 수효.
매수	BYNG	Buying	N		Y	買收. 물건을 사들임
매염	MRD	MORDANTING	N		N	媒染 염착성(染着性)이 없는 물질을 염색할 때 염착의 매개가 되는 염료(용제)를 사용하여 
매우	VRY	VERY	N		N	매우
매체	MD	MEDIA	N		Y	媒體
 어떤 작용을 한쪽에서 다른 쪽으로 전달하는 물체. 또는 그런 수단.
매출	SLS	Sales	N		Y	賣出. 물건 따위를 내다 파는 일
메뉴	MENU	Menu	N		Y	Menu. 디스플레이 장치 위에 표시하여 둠으로써 사용자가 마우스나 키보드를 이용하여 명령
메모	MEMO	Memo	N		Y	Memo. 다른 사람에게 말을 전하거나 자신의 기억을 돕기 위하여 짤막하게 글로 남김. 또
메모보고	MR	REPORT BY MEMORANDUM	N		N	약식으로 보고업무를 수행할 수 있는 기능
메시지	MSG	Message	N		Y	Message. 어떤 사실을 알리거나 주장하거나 경고하기 위하여 보내는 전언
메시지무결성	MI	MESSAGE INTEGRITY	N		N	전송 도중에 메시지의 내용이 부당하게 변경되었는지를 확인해 주는 기능
[한국정보통신기술협회
메타	META	META	N		Y	근원적인 정의 또는 설명.
면수	NOPG	NUMBER OF PAGES	Y		Y	면ː수(面數)[?쑤][명사]물체의 면이나 책 따위의 면의 수효.
면적	AREA	Area	N		Y	面積. 면이 이차원의 공간을 차지하는 넓이의 크기
면제	EXMPTN	Exemption	N		Y	免除. 책임이나 의무 등을 면하여 줌
면허	LCNS	License	N		Y	免許. 특정한 일을 할 수 있는 공식적인 자격을 행정 기관이 허가함
명	NM	Name	Y	명	Y	名. 다른 것과 구별하기 위하여 사물, 단체, 현상 따위에 붙여서 부르는 말. ‘이름’의 
명령어	CMDL	COMMAND LANGUAGE	N		Y	命令語
 컴퓨터에 연산이나 일정한 동작을 명령하는 기계어.
모니터링	MNIT	Monitoring	N		N	모니터링
모델	MDL	Model	N		Y	Model. 작품을 만들기 전에 미리 만든 물건. 또는 완성된 작품의 대표적인 보기
모듈	MDLE	MODULE	N		Y	독립적이고 논리적으로 구분이 가능한 프로그램의 단위
모드	MODE	MODE	N		N	IT : 특정한 작업을 할 수 있는 어떠한 상태. 예를 들어, 키보드에서 한글 모드란 한글
목록	LIST	LIST	N		Y	目錄
 어떤 물품의 이름이나 책 제목 따위를 일정한 순서로 적은 것
목적	PRPS	Purpose	Y	내용	Y	目的. 실현하려고 하는 일이나 나아가는 방향
목차	CTNT	CONTENT	N		Y	目次
 목록이나 제목, 조항 따위의 차례.
무게	WT	WEIGHT	N		Y	중력에 의해 객체가 지구 중심으로 끌리는 힘
무단	WOPM	WITHOUT PERMISSION	N		Y	無斷
 사전에 허락이 없음.
문서	DOC	Document	N		Y	文書. 글이나 기호 따위로 일정한 의사나 관념 또는 사상을 나타낸 것
문서과	DCDV	DOCUMENT DIVISION	N		Y	기관을 대표하는 문서의 수발 및 사무처리를 주관하는 과
문서보존포맷	DFLP	DIGITAL DOCUMENT FILE FORMAT FOR LONG-TERM PRESERVATION)	N		N	전자문서를 장기간 보존하기 위해 문서가 생산된 당시의 애플리케이션이 없어도 해당문서의 내용
문의처	HLPDSK	HELP DESK	N		N	의문이나 궁금한 내용을 물오봐서 해소할 수 있는 곳( = 헬프데스크로 바꿔서 등록함)
문자	CHAR	CHARACTER	N		Y	文字
 글자
문제	PRBLM	Problem	N		Y	問題. 논쟁, 논의, 연구 따위의 대상이 되는 것
문항	QITEM	Question Item	N		Y	問項. 문제의 항목
문헌	LTRT	LITERATURE	N		Y	文獻
 옛날의 제도나 문물을 아는 데 증거가 되는 자료나 기록.
문화재	CLTPTY	Cultural Property	N		Y	文化財. 문화 활동에 의하여 창조된 가치가 뛰어난 사물
물건	THING	Thing	N		Y	物件. 일정한 형체를 갖춘 모든 물질적 대상
물리	PHYS	Physics	N		Y	物理. 물질의 물리적 성질과 그것이 나타내는 모든 현상
물품	CMDTY	Commodity	N		Y	物品. 일정하게 쓸 만한 값어치가 있는 물건
미농지	MGM	MINOGAMI	N		N	美濃紙 닥나무나 삼지 닥나무 껍질을 원료로 해서 손으로 뜬 일본 전통 종이
미등록	URGT	UNREGISTER	N		N	등록되지 않음
미반입	DNTK	DON'T TAKE IN	N		N	반입되지 않음
미상	UNKN	UNKNOWN	N		Y	미ː상(迷想)[명사]어지럽게 헷갈린 생각. 갈피를 잡지 못하는 생각.
미수집	UNCL	UNCOLLECTING	N		N	未蒐集 수집하지 못한 상태
미승인	UAPV	UNAPPROVED	N		N	승인되지 않은 상태
미확정	UCFM	UNCONFIRMED	N		N	확정되지 않은 상태
민원	CVLCPT	Civil Complaint	N		Y	民願. 주민이 행정 기관에 대하여 원하는 바를 요구하는 일
민원인	CVLPR	Civil Petitioner	N		Y	民願人. 행정 기관에 민원의 처리를 요구하는 자연인 또는 단체
바이러스	VIRS	VIRUS	N		Y	자기 자신을 복제할 수 있는 기능을 가지고 있으며 컴퓨터 프로그램이나 실행 가능한 부분을 
바이러스검사	VRIS	VIRUS INSPECTION	N		N	바이러스를 검사함
반납	RTN	Return	N		Y	返納. 도로 바침. 또는 도로 돌려줌
반려	RJCT	Reject	N		Y	返戾. 주로 윗사람이나 상급 기관에 제출한 문서를 처리하지 않고 되돌려줌
반복	REPTN	Repetition	N		N	反復. 같은 일을 되풀이함
반송	SNDBK	Send Back	N		Y	返送. 도로 돌려보냄
반영	RFLT	Reflection	N		Y	反映. 다른 것에 영향을 받아 어떤 현상이 나타남. 또는 어떤 현상을 나타냄
반입	CRYN	Carry In	N		Y	搬入. 운반하여 들여옴
반출	SHPGOT	Shipping Out	N		Y	搬出. 운반하여 냄
반출반입	TOTI	TAKE OUT AND TAKE IN	N		Y	搬出搬入
 [법률정의] (남북교류협력에 관한 법률) 매매?교환?임대차?사용대차?증여등을 원
반출입	IOUT	IN-OUT	N		N	搬出入 반입과 반출. 운반하여 들어옴과 내보냄
반환	GVBK	Giving back	N		Y	返還. 빌리거나 차지했던 것을 되돌려줌
