단어명	영문약어	영문명	형식단어	도메인	표준여부	설명
URL	URL	Uniform Resource Locator	N		Y	URL. 확인된 리소스가 어디에 있는지 또 이를 탐색하는 메커니즘이 어디에 있는지에 대해 
URL주소	URLADR	URL ADDRESS	Y		N	네트워크에서 특정한 자원의 위치를 유일하게 표시하는 규정 주소
VRMS	VRMS	Virtual Record Management System	N		N	가상 기록물 관리 시스템
WAS	WAS	WEB APPLICATION SERVER	N		N	인터넷 상에서 HTTP를 통해 사용자 컴퓨터나 장치에 애플리케이션을 수행해 주는 미들웨어(
XML	XML	EXTENSIBLE MARKUP LANGUAGE	N		N	문서, 데이터, 구성, 도서, 트랜잭션, 음성데이터 등을 구조화된 정보로 표현하기 위한 텍
가능	PSBLTY	Possibility	N		Y	可能. 할 수 있거나 될 수 있음
가동	OPRTNG	Operating	N		Y	稼動. 사람이나 기계 따위가 움직여 일함. 또는 기계 따위를 움직여 일하게 함
가등록	PRGT	PROVISIONAL REGISTRATION	N		N	假登錄 임시적으로 등록함. 예) 기록물가등록번호이관년도, 기록물가등록번호이관일련번호
가로	WDTH	WIDTH	N		Y	왼쪽과 오른쪽의 방향, 또는 그 길이
가맹점	FRCS	Franchise	N		Y	加盟店. 어떤 조직의 동맹이나 연맹에 든 가게나 상점
가명	ASNM	ASSUMED NAME	N		N	假名
실제의 자기 이름이 아닌 이름
가산	ADTN	Addition	N		Y	加算. 더하여 셈함. 몇 개의 수나 식 따위를 합하여 계산함. 또는 그런 셈
가산세	ADDTX	Additional Tax	Y	금액	Y	加算稅. 규정한 세금을 납부하지 않았을 때 본래 부과된 금액에 일정 비율로 금액을 부과하는
가상	VR	Virtual	N		Y	假象. 주관적으로는 실제 있는 것처럼 보이나 객관적으로는 존재하지 않는 거짓 현상. 假想.
가수	SNGR	SINGER	N		N	歌手 노래 부르는 것이 직업인 사람
가수분해	HYRO	HYDROLYSIS	N		N	물의 개입작용으로 인해 유기 혼합물이 붕괴되거나, 분자결합을 깨거나 약화시켜 퇴화시키는 반
가습처리	HMID	HUMIDIFICATION	N		N	건조화되거나 경직된 종이기록물을 이완시키기 위해 인공적으로 만든 온습도 조절 환경에서 수분
가액	PAMT	PRICE AMOUNT	N		N	價額
 물건의 가치에 상당하는 금액.
가역성	REVS	REVERSIBILITY	N		N	可逆性 수리 및 복원처리 후 기록물의 상태를 처리하기 이전의 원래 상태로 되돌릴 수 있는 
가입	JOIN	Join	N		Y	加入. 조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 따위를 신청함
가족	FAM	Family	N		Y	家族. 주로 부부를 중심으로 한, 친족 관계에 있는 사람들의 집단. 또는 그 구성원. 혼인
가치	WRTH	WORTH	N		N	價値
