x	y	text
386	42	SCALE_MEDIA
520	42	검토일련번호
576	42	단위업무별기능
625	42	과제연계일자
642	42	기능유형명
656	42	정렬순서
692	42	최초등록자ID
714	42	해외기록유형코드
108	42	생산현황서식구분 (FK)
673	42	비밀단위업무여부
939	42	통계건수7
953	42	통계건수8
976	42	기록물형태명
1017	42	통계건수7
1032	42	통계건수8
404	42	기록물구분
418	42	최종수정일시
431	42	서열
552	42	보존영구기록
598	42	보존5년기록
470	42	검토서명
484	42	등록일시
762	42	FST_REG_DT
780	42	과제기능유형
812	42	등록일
839	42	RGST_DTM
858	42	보존기간종료년도
876	42	기관정보
1000	42	기록물종류명
224	42	인수자
247	42	기록물철등록일련번호
290	42	변경전결재권자
315	42	확정_사유
124	42	5년
143	42	5년
158	42	5년
177	42	서면결의횟수
193	42	5년
450	43	용어설명
349	43	소장이력
367	43	소장이력
386	43	POSS_HIS_OLD
501	43	검토의견
520	43	검토의견
576	43	보존영구갑기록
108	43	처리기관코드 (FK)
625	43	비고
642	43	기능분류등급구분
656	43	기능유형명
673	43	단위업무가명
692	43	최초등록일시
714	43	해외문서분류코드 (FK)
939	43	통계건수8
953	43	통계건수9
976	43	기록물형태순서
1017	43	통계건수8
1032	43	통계건수9
552	43	보존준영구기록
598	43	보존3년기록
404	43	기록물종류
470	43	기록물내용요약
484	43	최초등록자
743	43	전송구분
762	43	통보파일전송결과코드(CM101)
780	43	기능별단계
812	43	등록자ID
858	43	보존기간분류명
876	43	업무명칭
439	44	ID
124	44	3년
143	44	3년
158	44	3년
177	44	속기사녹음기록
193	44	3년
224	44	접수년도 (FK)
247	44	권호수
290	44	변경후결재권자
315	44	확정_이관승인년도
450	44	시소러스이관자ID
349	44	수집이관일자
367	44	수집이관일자
386	44	TRANS_ORG
501	44	검토결과
520	44	검토결과
576	44	보존영구을기록
625	44	최초등록자ID
642	44	과제시작일시
656	44	기능분류등급구분
692	44	최종수정자ID
714	44	해외문서분류명
108	44	행번호
673	44	기관공통그룹구분
939	44	통계건수9
953	44	통계건수10
976	44	유형구분코드
1000	44	최초등록일자
1017	44	통계건수9
1032	44	통계건수10
404	44	기록물유형
431	44	최하위여부
552	44	보존10년기록
598	44	보존2년기록
470	45	최초등록자
484	45	최초등록일시
743	45	최초등록일자
762	45	통보파일전송오류메세지
780	45	기능분류코드
858	45	분류기준기술
876	45	판단사유
224	45	자료관코드 (FK)
290	45	변경전기안자
315	45	확정_승인자
124	45	1년
143	45	1년
158	45	1년
177	45	회의록구성요소
193	45	1년
450	45	시소러스이관일시
349	45	수집이관기관
367	45	수집이관기관
386	45	TRANS_METHOD
501	45	생산기관의견조회여부
520	45	생산기관조회여부
576	45	보존준영구기록
625	45	최초등록일시
642	45	과제종료일시
656	45	과제시작일시
692	45	최종수정일시
714	45	시대분야
552	46	보존5년기록
598	46	보존1년기록
673	46	단위업무설명
939	46	통계건수10
953	46	통계건수11
976	46	유형구분명
1000	46	최종수정일자
1017	46	통계건수10
1032	46	통계건수11
404	46	기록물세부유형
431	46	폐지여부
470	46	최초등록일시
484	46	최종수정자
743	46	최초등록자ID
780	46	기능분류명
858	46	작성자ID
876	46	관련근거
124	46	최초등록일시
143	46	최초등록일시
158	46	최초등록일시
177	46	비고
193	46	최초등록일시
247	46	기록물형태
290	46	변경후기안자
315	46	확정_승인일자
108	46	기록물철분류번호
450	46	신조어등록자ID
349	47	수집이관방법
367	47	수집이관방법
386	47	RANGE_CONTENT
501	47	생산기관의견일시
520	47	생산기관의견일시
576	47	보존10년기록
625	47	최종수정자ID
642	47	삭제여부
656	47	과제종료일시
714	47	내용설명
