한글명	영문명	도메인종수	총컬럼수	최빈도메인	최빈빈도	전체도메인분포	형식suffix	기대도메인
인수인계기록물철등록일련번호	tkov_fls_reg_sn	2	5	STRING(6)	4	STRING(6)4 | STRING(35)1	번호	STRING/NUMERIC
목록라인번호	list_line_no	2	5	STRING(8)	4	STRING(8)4 | NUMERIC(6)1	번호	STRING/NUMERIC
인계자명	phnd_nm	2	5	STRING(40)	3	STRING(40)3 | STRING(100)2		
인수진행상태코드	acptn_prgrs_stts_cd	2	5	STRING(2)	4	STRING(2)4 | STRING(1)1		
기록물철제목	fls_ttl	2	5	STRING(500)	4	STRING(500)4 | STRING(200)1		
공개시스템코드	rls_sys_cd	2	5	STRING(2)	4	STRING(2)4 | STRING(1)1		
보존상자아이디	prsr_box_id	2	5	STRING(19)	4	STRING(19)4 | STRING(15)1	아이디	STRING
접수종료일시	rcpt_end_dt	2	5	STRING(14)	3	STRING(14)3 | STRING(15)2	일시	DATETIME/STRING(14)
작업유형코드	job_type_cd	2	5	STRING(1)	3	STRING(1)3 | STRING(2)2		
광디스크아이디	opds_id	2	5	STRING(20)	3	STRING(20)3 | STRING(15)2	아이디	STRING
폐지여부	abl_yn	2	5	STRING(1)	4	STRING(1)4 | STRING(4)1	여부	STRING(1)/CHAR(1)
전화번호	telno	2	5	STRING(50)	3	STRING(50)3 | STRING(30)2	번호	STRING/NUMERIC
정렬순번	sort_seq	2	5	NUMERIC(9)	4	NUMERIC(9)4 | STRING(3)1		
첨부파일명	atch_file_nm	2	4	STRING(300)	3	STRING(300)3 | STRING(500)1		
내용요약	cn_smmr	2	4	STRING(1073741823)	3	STRING(1073741823)3 | STRING(400)1		
이관일자	trnsf_ymd	2	4	STRING(8)	3	STRING(8)3 | CHAR(8)1	일자	DATE/STRING(8)
비치여부	frns_yn	2	4	CHAR(1)	2	CHAR(1)2 | STRING(1)2	여부	STRING(1)/CHAR(1)
정정일시	crrc_dt	2	4	DATE(10)	3	DATE(10)3 | STRING(14)1	일시	DATETIME/STRING(14)
기록물철크기	fls_sz	2	4	NUMERIC(13)	3	NUMERIC(13)3 | NUMERIC(38)1		
전자파일개수	elct_file_ecnt	2	4	STRING(6)	3	STRING(6)3 | NUMERIC(15)1		
인수자아이디	acptr_id	2	4	STRING(35)	3	STRING(35)3 | STRING(40)1	아이디	STRING
접수기록물철수	rcpt_fls_cnt	2	4	NUMERIC(10)	3	NUMERIC(10)3 | NUMERIC(38)1		
접수기록물건수	rcpt_ritm_cnt	2	4	NUMERIC(10)	3	NUMERIC(10)3 | NUMERIC(38)1		
쪽수	page_cnt	2	4	STRING(6)	3	STRING(6)3 | NUMERIC(5)1		
기관코드	inst_cd	2	4	STRING(7)	3	STRING(7)3 | STRING(20)1		
서가배치여부	bksh_dpos_yn	2	4	STRING(1)	3	STRING(1)3 | STRING(2)1	여부	STRING(1)/CHAR(1)
기록물철보유상태코드	fls_hold_stts_cd	2	4	STRING(2)	2	STRING(2)2 | STRING(14)2		
색인차수	indx_cycl	2	4	STRING(3)	2	STRING(3)2 | STRING(1)2		
행위자순번	pfmr_seq	2	4	NUMERIC(6)	3	NUMERIC(6)3 | NUMERIC(3)1		
관계파일키	rel_file_key	2	4	STRING(35)	3	STRING(35)3 | STRING(27)1		
행위자처리과코드	pfmr_trdv_cd	2	4	STRING(7)	3	STRING(7)3 | STRING(35)1		
배치정보	dpos_info	2	4	STRING(20)	2	STRING(20)2 | STRING(15)2		
진행상태코드	prgrs_stts_cd	2	4	STRING(2)	3	STRING(2)3 | STRING(1)1		
서열	ord	2	4	NUMERIC(5)	3	NUMERIC(5)3 | NUMERIC(4)1		
직위명	jbps_nm	2	4	STRING(100)	3	STRING(100)3 | STRING(512)1		
라인번호	line_no	2	4	NUMERIC(13)	2	NUMERIC(13)2 | STRING(28)2	번호	STRING/NUMERIC
단위업무명	unit_job_nm	2	4	STRING(40)	3	STRING(40)3 | STRING(60)1		
기록물건순번	ritm_seq	2	3	NUMERIC(6)	2	NUMERIC(6)2 | NUMERIC(5)1		
폐기여부	dscd_yn	2	3	STRING(1)	2	STRING(1)2 | CHAR(1)1	여부	STRING(1)/CHAR(1)
작업순번	job_seq	2	3	NUMERIC(35)	2	NUMERIC(35)2 | NUMERIC(6)1		
변경전시행일자	bfch_enfc_ymd	2	3	STRING(14)	2	STRING(14)2 | STRING(8)1	일자	DATE/STRING(8)
변경후시행일자	afch_enfc_ymd	2	3	STRING(14)	2	STRING(14)2 | STRING(8)1	일자	DATE/STRING(8)
기록물건등록번호	ritm_reg_no	2	3	STRING(41)	2	STRING(41)2 | STRING(90)1	번호	STRING/NUMERIC
전문요원의견등록일자	splst_opnn_reg_ymd	2	3	STRING(8)	2	STRING(8)2 | CHAR(8)1	일자	DATE/STRING(8)
일정순번	schdl_seq	2	3	NUMERIC(10)	2	NUMERIC(10)2 | STRING(100)1		
기록물건키	ritm_key	2	3	STRING(90)	2	STRING(90)2 | STRING(54)1		
접수검수처리상태	rcpt_igi_prcs_stts	2	3	STRING(2)	2	STRING(2)2 | STRING(1)1		
첨부파일공개여부	atch_file_rls_yn	2	3	STRING(1)	2	STRING(1)2 | CHAR(1)1	여부	STRING(1)/CHAR(1)
선정일자	slctn_ymd	2	3	STRING(8)	2	STRING(8)2 | CHAR(8)1	일자	DATE/STRING(8)
다중승인기록물건아이디	multi_aprv_ritm_id	2	3	STRING(19)	2	STRING(19)2 | STRING(14)1	아이디	STRING
인계자아이디	phnd_id	2	3	STRING(35)	2	STRING(35)2 | STRING(40)1	아이디	STRING
결과등록일자	rslt_reg_ymd	2	3	STRING(8)	2	STRING(8)2 | CHAR(8)1	일자	DATE/STRING(8)
설명	expln	2	3	STRING(100)	2	STRING(100)2 | STRING(500)1		
등록완료여부	reg_cmptn_yn	2	3	STRING(1)	2	STRING(1)2 | CHAR(1)1	여부	STRING(1)/CHAR(1)
