size	x	y	text
1.3	840	154	자체관리 통합기관코드
1.3	539	154	관리변경이력정보(RG)
1.3	222	155	실물확인오류내역
1.3	908	155	기관코드사용 범위설정
1.3	321	166	저장매체모니터링(SM)
1.3	223	167	실물확인요청내역
1.3	362	168	정부간행물 전자파일업로드 연계데이터
1.3	539	174	관리기본특수목록(RG)
1.3	392	175	정부간행물MASTER복본
1.3	869	175	구정부기관(CM)
1.3	994	177	데몬프로세스환경설정(CM)
1.3	1013	177	목적분류체계(CM)
1.3	1029	177	법정동(CM)
1.3	1046	177	직급(CM)
1.3	1064	177	직렬(CM)
1.3	456	177	발간등록번호 연계데이타
1.3	732	177	임시등록세부특수목록(RG_DETTUK)
1.3	977	177	대통령기록분류코드표(CM)
1.3	307	177	볼륨(SM)
1.3	962	177	기능분류오류내역
1.3	133	183	오검수유형집계내역(RG)
1.3	289	183	이관건생산내역(RG)
1.3	198	184	실물확인세부목록_P
1.3	180	186	실물확인세부목록_O
1.3	158	187	육안검수오류유형별통계정보
1.3	691	190	대량등록파일오류내역
1.3	537	194	첨부파일(SM)
1.3	324	196	이관세부특수목록(RG)
1.3	307	196	이관건관계정보(RG)
1.3	363	196	정부간행물 전자파일업로드 데이터
1.3	223	197	이관철관계정보(RG)
1.3	435	202	발간등록신청(CAMS)
1.3	994	208	목록제공결과파일내역(CM)
1.3	1012	208	목록제공내역(CM)
1.3	1046	208	우편번호(CM)
1.3	1064	208	직종(CM)
1.3	977	208	대분류기초코드(CM)
1.3	961	208	소분류기초코드(CM)
1.3	837	212	기록물소장처(CM)->삭제대상TABLE
1.3	884	212	기관평가결과(SP)
1.3	897	212	항목별 기관평가결과(SP)
1.3	917	212	기관평가항목(SP)
1.3	291	213	이관기록물건변경이력대장(RG)
1.3	862	214	이전기관코드 이력관리
1.3	223	214	이관철생산내역(RG)
1.3	538	216	첨부세부내역(SM)
1.3	321	217	이관파일목록(RG)
1.3	362	219	정부간행물 전자첨부파일업로드 연계데이터
1.3	691	220	대량등록파일관리
1.3	658	221	관리기록물건변경이력대장(RG)
1.3	995	227	생산기관(CM)
1.3	733	231	임시등록박물추가정보(RG_ADMIN_ADDINFO)
1.3	486	235	총독부간행물 목차주기사항(RG)
1.3	222	236	이관변경이력정보(RG)
1.3	616	237	문서보존파일(SV)
1.3	181	237	품질검사진행일
1.3	1018	240	코드테이블
1.3	1029	240	외국명(CM)
1.3	1046	240	직위(CM)
1.3	1060	240	직종세부분류(CM)
1.3	977	240	생산부처기관(CM)
1.3	962	240	보존소(CM)
1.3	133	240	영구보존포맷변환내역(SV)
1.3	158	241	전자기록물육안검수오류현황
1.3	198	256	품질검사진행일 철단위(RG)
1.3	223	257	이관목록인계 철단위(RG)
1.3	132	261	품질검수일일할당건수집계내역(RG)
1.3	615	265	주요인물(SV)
1.3	264	270	이관첨부파일추출정보(RG)데이터보관용
1.3	481	279	기록물저작권
1.3	971	279	기록물철 변경이력
1.3	991	279	기록물철 삭제
1.3	1009	279	기록물상태 변경이력
1.3	1026	279	기록물건 변경이력
1.3	133	280	RMS오류통보수신내역
1.3	447	281	행정박물분류체계(CM)
1.3	414	281	행정박물 대중소분류
1.3	430	281	행정박물 인수확인 목록
1.3	376	283	구술기록기본목록
1.3	362	283	구술기록 관련자
1.3	388	284	구술기록 세부목록
1.3	618	285	관리세부특수목록(RG)
1.3	695	285	시청각세부추가(SV)
1.3	711	285	시청각세부추가(언어)(SV)
1.3	732	289	시청각기록물엑셀업로드오류내역
1.3	158	290	전자기록물품질검사(RG)
1.3	321	291	이관인수인계목록
1.3	766	292	이중보존매체마스터정보
1.3	198	293	이관기본목록(RG)데이터보관용
1.3	790	294	해외기록물 매체류
1.3	430	294	행정박물추가정보
1.3	179	297	인수대장 - 인수 기록물 정보
1.3	362	301	구술기록 구성자료
1.3	414	302	행정박물가인수인계
1.3	132	302	이관세부목록(RG)데이터보관용
1.3	447	305	행정박물인수확인서
