size	x	y	font	text
1.2	513	166	Gulim	보존기간
1.2	244	166	Gulim	업무담당자
1.2	265	166	Gulim	기록물철분류번호
1.2	289	166	Gulim	해쉬값
1.2	244	167	Gulim	구기록물철분류번호
1.2	265	167	Gulim	특수기록물
1.2	289	167	Gulim	해쉬알고리즘
1.2	416	167	Gulim	저자명
1.2	437	167	Gulim	신청일자
1.2	244	169	Gulim	신구기록물구분
1.2	265	169	Gulim	공개구분
1.2	289	169	Gulim	해쉬점검일시
1.2	841	169	Gulim	유형분류
1.2	846	169	Gulim	대
1.2	244	170	Gulim	수정여부
1.2	265	170	Gulim	공개제한부분표시
1.2	289	170	Gulim	해쉬점검결과
1.2	244	171	Gulim	등록건수
1.2	265	171	Gulim	구기록물보존기간
1.2	292	171	Gulim	파일유효성검사일시
1.2	244	172	Gulim	쪽수
1.2	265	172	Gulim	내용요약
1.2	292	172	Gulim	파일유효성점검결과
1.2	363	173	Gulim	순번
1.2	841	173	Gulim	소장처구분
1.2	244	174	Gulim	전자파일갯수
1.2	265	174	Gulim	기록물형태
1.2	289	174	Gulim	전자서명유효성검사일시
1.2	841	174	Gulim	소장국가
1.2	244	175	Gulim	인수인계구분
1.2	265	175	Gulim	신구기록물구분
1.2	289	175	Gulim	전자서명유효성점검결과
1.2	416	175	Gulim	형태구분코드
1.2	416	176	Gulim	유형구분코드
1.2	244	176	Gulim	인수인계처리기관코드
1.2	265	176	Gulim	수정여부
1.2	289	176	Gulim	이관철
1.2	540	177	Gulim	기본목록
1.2	392	177	Gulim	기본목록
1.2	244	177	Gulim	인수인계단위업무코드
1.2	265	177	Gulim	반려여부
1.2	289	177	Gulim	보존처리바이러스여부
1.2	841	178	Gulim	참조기관코드
1.2	244	179	Gulim	인수인계생산년도
1.2	265	179	Gulim	기록물관리번호
1.2	289	179	Gulim	보존포맷변환여부
1.2	1013	179	Gulim	목적등록년도
1.2	513	180	Gulim	전자파일갯수
1.2	244	180	Gulim	인수인계기록물철등록일련번호
1.2	265	180	Gulim	건번호
1.2	224	181	Gulim	이관기본목록
1.2	244	181	Gulim	인수인계권호수
1.2	265	181	Gulim	건연결번호
1.2	392	182	Gulim	등록취급기관
1.2	841	182	Gulim	폐지구분
1.2	1013	182	Gulim	상위목적분류코드
1.2	1046	182	Gulim	공무원구분코드
1.2	244	182	Gulim	내용요약정보
1.2	265	182	Gulim	첨부물구분기호
1.2	392	183	Gulim	처리기관코드
1.2	1046	184	Gulim	직종코드
1.2	244	184	Gulim	자료관코드
1.2	265	184	Gulim	편철순서
1.2	392	184	Gulim	일련번호
1.2	639	184	Gulim	기록물관리번호
1.2	1046	185	Gulim	직종세분류코드
1.2	244	185	Gulim	구기록물문서번호
1.2	265	185	Gulim	기록물건분류번호
1.2	290	185	Gulim	이관기본목록
1.2	392	186	Gulim	발간주기코드
1.2	1046	186	Gulim	직군코드
1.2	244	186	Gulim	보관상자번호
1.2	265	186	Gulim	등록일자
1.2	290	186	Gulim	이관세부목록
1.2	392	187	Gulim	발행일자
1.2	1046	187	Gulim	직렬코드
1.2	244	188	Gulim	최초등록일시
1.2	265	188	Gulim	페이지시작
1.2	513	189	Gulim	내용요약
1.2	1046	189	Gulim	직류코드
1.2	244	189	Gulim	최초등록자
1.2	265	189	Gulim	페이지끝
1.2	513	190	Gulim	기록물위치
1.2	1046	190	Gulim	계급코드
1.2	244	190	Gulim	기록물철분류번호
1.2	265	190	Gulim	처리일자
1.2	639	191	Gulim	기록물건분류번호
1.2	244	191	Gulim	카드명코드
1.2	265	191	Gulim	구기록물등록
1.2	513	192	Gulim	기록물관리번호
1.2	244	193	Gulim	도면규격코드
1.2	265	193	Gulim	취소반송일자
1.2	244	194	Gulim	보존분류오류여부
1.2	265	194	Gulim	문서번호
1.2	513	195	Gulim	기록물유형
1.2	244	195	Gulim	특수목록오류여부
1.2	265	195	Gulim	시청각매체유형
1.2	244	196	Gulim	기타오류여부
1.2	265	196	Gulim	접수확인
1.2	244	198	Gulim	오류내역
1.2	265	198	Gulim	인명
1.2	324	198	Gulim	이관세부목록
1.2	308	198	Gulim	이관기본목록
1.2	244	199	Gulim	검사여부
1.2	265	199	Gulim	주민번호
1.2	223	199	Gulim	이관기본목록
1.2	308	199	Gulim	이관세부목록
1.2	324	199	Gulim	이관기본목록
1.2	639	199	Gulim	문서번호
1.2	244	200	Gulim	반려여부
1.2	265	200	Gulim	주민번호
1.2	363	200	Gulim	발간등록번호
1.2	244	201	Gulim	기본확정여부
1.2	265	201	Gulim	물건등록번호
1.2	363	202	Gulim	발간등록번호별기본목록순서
1.2	244	203	Gulim	기록물유형
1.2	265	203	Gulim	공사구간
1.2	639	203	Gulim	인명
1.2	244	204	Gulim	구기록물처리과코드
1.2	265	204	Gulim	시작일자
1.2	639	204	Gulim	주민번호
1.2	244	205	Gulim	기록물관리번호
1.2	265	205	Gulim	종료일자
1.2	639	206	Gulim	주민번호
1.2	244	206	Gulim	관리일자
1.2	265	206	Gulim	옛날지명
1.2	394	207	Gulim	코드
1.2	513	208	Gulim	보관상자번호
1.2	244	208	Gulim	관리담당자
1.2	265	208	Gulim	번지
1.2	244	209	Gulim	보존시설
1.2	265	209	Gulim	사안별편철오류
1.2	244	210	Gulim	분류체계구분
1.2	265	210	Gulim	분류등록오류여부
1.2	513	211	Gulim	기록물철분류번호
1.2	244	211	Gulim	분류체계명
1.2	265	211	Gulim	특수목록오류여부
1.2	616	212	Gulim	관리첨부파일정보이력
1.2	639	212	Gulim	옛날지명
1.2	995	212	Gulim	일련번호
1.2	244	213	Gulim	과제구분코드
1.2	265	213	Gulim	최초등록일시
1.2	639	213	Gulim	번지
1.2	244	214	Gulim	기능별분류체계경로명
1.2	265	214	Gulim	최초등록자
1.2	291	215	Gulim	이관세부목록
1.2	244	215	Gulim	목적별분류체계경로명
1.2	265	215	Gulim	이미지연결번호
1.2	617	216	Gulim	기본목록
1.2	291	216	Gulim	이관기본목록
1.2	223	216	Gulim	이관기본목록
1.2	244	217	Gulim	부제목
1.2	265	217	Gulim	파일크기
1.2	617	217	Gulim	세부목록
1.2	244	218	Gulim	정정제목
1.2	265	218	Gulim	파일확장자
1.2	617	218	Gulim	파일명
1.2	621	218	Gulim	첨부파일명
1.2	538	219	Gulim	첨부파일
1.2	513	219	Gulim	보존시설
1.2	244	219	Gulim	기타기록물유형코드
1.2	265	219	Gulim	파일
1.2	617	219	Gulim	재변환등록일
1.2	244	220	Gulim	보존기간책정사유명
1.2	265	220	Gulim	오류내역
1.2	617	221	Gulim	재변환종료일
1.2	639	221	Gulim	사건명
1.2	513	221	Gulim	공개여부
1.2	244	222	Gulim	보안분류코드
1.2	265	222	Gulim	열람범위
1.2	617	222	Gulim	오류내용
1.2	639	222	Gulim	총독부지목
1.2	244	223	Gulim	보안분류사유
1.2	265	223	Gulim	기록물건상세유형코드
1.2	658	223	Gulim	기본목록
1.2	617	223	Gulim	재변환시작일
